date,state,district,pincode,bio_age_5_17,bio_age_17_
03-01-2026,Uttar Pradesh,Bareilly,243001,5,7
03-01-2026,Uttar Pradesh,Bareilly,243003,4,8
03-01-2026,Uttar Pradesh,Bareilly,243202,3,4
03-01-2026,Uttar Pradesh,Bareilly,243506,1,0
03-01-2026,Uttar Pradesh,Bareilly,262407,2,2
02-01-2026,Uttar Pradesh,Bareilly,243001,42,65
02-01-2026,Uttar Pradesh,Bareilly,243006,13,22
02-01-2026,Uttar Pradesh,Bareilly,243202,32,25
02-01-2026,Uttar Pradesh,Bareilly,243203,8,9
02-01-2026,Uttar Pradesh,Bareilly,243302,19,19
02-01-2026,Uttar Pradesh,Bareilly,243402,19,13
02-01-2026,Uttar Pradesh,Bareilly,243504,15,21
02-01-2026,Uttar Pradesh,Bareilly,262406,38,41
25-12-2025,Uttar Pradesh,Bareilly,243403,5,0
29-12-2025,Uttar Pradesh,Bareilly,243201,47,44
29-12-2025,Uttar Pradesh,Bareilly,243402,18,6
28-12-2025,Uttar Pradesh,Bareilly,243001,14,16
28-12-2025,Uttar Pradesh,Bareilly,243202,12,3
28-12-2025,Uttar Pradesh,Bareilly,243302,4,6
28-12-2025,Uttar Pradesh,Bareilly,243303,5,4
28-12-2025,Uttar Pradesh,Bareilly,243403,0,1
28-12-2025,Uttar Pradesh,Bareilly,243407,0,2
28-12-2025,Uttar Pradesh,Bareilly,243501,4,1
28-12-2025,Uttar Pradesh,Bareilly,243504,8,8
27-12-2025,Uttar Pradesh,Bareilly,243001,29,42
27-12-2025,Uttar Pradesh,Bareilly,243201,75,44
27-12-2025,Uttar Pradesh,Bareilly,243403,1,1
27-12-2025,Uttar Pradesh,Bareilly,243502,24,29
27-12-2025,Uttar Pradesh,Bareilly,243505,36,21
27-12-2025,Uttar Pradesh,Bareilly,262122,0,1
27-12-2025,Uttar Pradesh,Bareilly,262406,62,45
01-01-2026,Uttar Pradesh,Bareilly,243005,34,54
01-01-2026,Uttar Pradesh,Bareilly,243203,14,10
01-01-2026,Uttar Pradesh,Bareilly,243301,49,39
01-01-2026,Uttar Pradesh,Bareilly,243303,66,34
01-01-2026,Uttar Pradesh,Bareilly,243407,3,5
01-01-2026,Uttar Pradesh,Bareilly,262406,69,61
23-12-2025,Uttar Pradesh,Bareilly,243004,0,1
21-12-2025,Uttar Pradesh,Bareilly,243123,2,38
21-12-2025,Uttar Pradesh,Bareilly,243203,1,7
14-12-2025,Uttar Pradesh,Bareilly,243302,4,32
