date,state,district,pincode,bio_age_5_17,bio_age_17_
01-03-2025,Uttar Pradesh,Gorakhpur,273015,434,545
01-03-2025,Uttar Pradesh,Gorakhpur,273201,322,350
01-03-2025,Uttar Pradesh,Gorakhpur,273211,134,243
01-03-2025,Uttar Pradesh,Gorakhpur,273411,162,278
01-03-2025,Uttar Pradesh,Gorakhpur,273012,12,24
01-03-2025,Uttar Pradesh,Gorakhpur,273016,358,637
01-04-2025,Uttar Pradesh,Gorakhpur,273213,185,231
01-04-2025,Uttar Pradesh,Gorakhpur,273203,177,233
01-03-2025,Uttar Pradesh,Gorakhpur,273165,588,539
01-03-2025,Uttar Pradesh,Gorakhpur,273213,141,212
01-03-2025,Uttar Pradesh,Gorakhpur,273407,218,370
01-04-2025,Uttar Pradesh,Gorakhpur,273165,470,403
01-04-2025,Uttar Pradesh,Gorakhpur,273407,258,299
01-04-2025,Uttar Pradesh,Gorakhpur,273413,377,503
01-04-2025,Uttar Pradesh,Gorakhpur,273002,226,298
01-04-2025,Uttar Pradesh,Gorakhpur,273004,71,134
01-05-2025,Uttar Pradesh,Gorakhpur,273001,285,597
01-05-2025,Uttar Pradesh,Gorakhpur,273008,139,273
01-05-2025,Uttar Pradesh,Gorakhpur,273004,53,118
01-05-2025,Uttar Pradesh,Gorakhpur,273412,174,221
01-05-2025,Uttar Pradesh,Gorakhpur,273015,360,523
09-11-2025,Uttar Pradesh,Gorakhpur,273009,0,1
20-10-2025,Uttar Pradesh,Gorakhpur,273004,0,1
27-10-2025,Uttar Pradesh,Gorakhpur,273009,0,1
01-12-2025,Uttar Pradesh,Gorakhpur,273017,1,8
29-11-2025,Uttar Pradesh,Gorakhpur,273162,0,1
30-11-2025,Uttar Pradesh,Gorakhpur,273004,0,4
10-12-2025,Uttar Pradesh,Gorakhpur,273009,1,1
20-11-2025,Uttar Pradesh,Gorakhpur,273157,0,1
25-12-2025,Uttar Pradesh,Gorakhpur,273009,0,1
25-12-2025,Uttar Pradesh,Gorakhpur,273017,1,1
27-12-2025,Uttar Pradesh,Gorakhpur,273004,6,4
27-12-2025,Uttar Pradesh,Gorakhpur,273010,8,4
27-12-2025,Uttar Pradesh,Gorakhpur,273015,21,25
27-12-2025,Uttar Pradesh,Gorakhpur,273016,17,7
27-12-2025,Uttar Pradesh,Gorakhpur,273155,3,4
27-12-2025,Uttar Pradesh,Gorakhpur,273202,17,31
27-12-2025,Uttar Pradesh,Gorakhpur,273211,7,8
29-12-2025,Uttar Pradesh,Gorakhpur,273005,5,4
29-12-2025,Uttar Pradesh,Gorakhpur,273014,9,4
29-12-2025,Uttar Pradesh,Gorakhpur,273017,1,2
29-12-2025,Uttar Pradesh,Gorakhpur,273152,6,14
29-12-2025,Uttar Pradesh,Gorakhpur,273411,15,15
28-12-2025,Uttar Pradesh,Gorakhpur,273003,2,0
28-12-2025,Uttar Pradesh,Gorakhpur,273012,0,1
28-12-2025,Uttar Pradesh,Gorakhpur,273013,13,12
28-12-2025,Uttar Pradesh,Gorakhpur,273016,4,5
28-12-2025,Uttar Pradesh,Gorakhpur,273017,0,1
28-12-2025,Uttar Pradesh,Gorakhpur,273161,1,0
28-12-2025,Uttar Pradesh,Gorakhpur,273408,11,20
28-12-2025,Uttar Pradesh,Gorakhpur,273411,15,19
03-12-2025,Uttar Pradesh,Gorakhpur,273161,2,0
23-12-2025,Uttar Pradesh,Gorakhpur,273012,0,3
25-12-2025,Uttar Pradesh,Gorakhpur,273005,0,16
25-12-2025,Uttar Pradesh,Gorakhpur,273155,0,2
25-12-2025,Uttar Pradesh,Gorakhpur,273165,3,44
25-12-2025,Uttar Pradesh,Gorakhpur,273211,2,26
19-12-2025,Uttar Pradesh,Gorakhpur,273006,0,8
19-12-2025,Uttar Pradesh,Gorakhpur,273012,0,1
01-01-2026,Uttar Pradesh,Gorakhpur,273002,12,19
01-01-2026,Uttar Pradesh,Gorakhpur,273015,31,39
01-01-2026,Uttar Pradesh,Gorakhpur,273211,7,19
01-01-2026,Uttar Pradesh,Gorakhpur,273213,10,12
01-01-2026,Uttar Pradesh,Gorakhpur,273404,18,12
01-01-2026,Uttar Pradesh,Gorakhpur,273405,14,13
01-01-2026,Uttar Pradesh,Gorakhpur,273406,7,13
01-01-2026,Uttar Pradesh,Gorakhpur,273412,20,46
03-01-2026,Uttar Pradesh,Gorakhpur,273008,1,0
03-01-2026,Uttar Pradesh,Gorakhpur,273010,0,1
03-01-2026,Uttar Pradesh,Gorakhpur,273015,1,2
03-01-2026,Uttar Pradesh,Gorakhpur,273016,3,1
03-01-2026,Uttar Pradesh,Gorakhpur,273403,3,2
02-01-2026,Uttar Pradesh,Gorakhpur,273002,4,7
02-01-2026,Uttar Pradesh,Gorakhpur,273213,9,11
02-01-2026,Uttar Pradesh,Gorakhpur,273401,9,11
02-01-2026,Uttar Pradesh,Gorakhpur,273402,22,21
02-01-2026,Uttar Pradesh,Gorakhpur,273408,6,18
20-12-2025,Uttar Pradesh,Gorakhpur,273017,1,0
21-12-2025,Uttar Pradesh,Gorakhpur,273004,0,1
07-12-2025,Uttar Pradesh,Gorakhpur,273004,0,4
07-12-2025,Uttar Pradesh,Gorakhpur,273006,0,2
08-12-2025,Uttar Pradesh,Gorakhpur,273009,0,2
29-10-2025,Uttar Pradesh,Gorakhpur,273012,0,1
