date,state,district,pincode,bio_age_5_17,bio_age_17_
03-01-2026,Rajasthan,Jaipur,302002,7,9
03-01-2026,Rajasthan,Jaipur,302032,1,0
03-01-2026,Rajasthan,Jaipur,303007,4,3
03-01-2026,Rajasthan,Jaipur,303105,1,1
03-01-2026,Rajasthan,Jaipur,303305,3,2
03-01-2026,Rajasthan,Jaipur,303328,4,7
03-01-2026,Rajasthan,Jaipur,303601,3,2
03-01-2026,Rajasthan,Jaipur,303603,3,4
03-01-2026,Rajasthan,Jaipur,303701,3,3
03-01-2026,Rajasthan,Jaipur,303712,5,0
03-01-2026,Rajasthan,Jaipur,303801,2,0
03-01-2026,Rajasthan,Jaipur,303903,3,2
02-01-2026,Rajasthan,Jaipur,302002,48,90
02-01-2026,Rajasthan,Jaipur,302005,0,3
02-01-2026,Rajasthan,Jaipur,302020,42,23
02-01-2026,Rajasthan,Jaipur,302021,39,30
02-01-2026,Rajasthan,Jaipur,302026,12,15
02-01-2026,Rajasthan,Jaipur,302029,43,44
02-01-2026,Rajasthan,Jaipur,302031,31,35
02-01-2026,Rajasthan,Jaipur,302034,7,9
02-01-2026,Rajasthan,Jaipur,303007,36,21
02-01-2026,Rajasthan,Jaipur,303012,23,31
02-01-2026,Rajasthan,Jaipur,303102,14,15
02-01-2026,Rajasthan,Jaipur,303103,31,33
02-01-2026,Rajasthan,Jaipur,303119,5,16
02-01-2026,Rajasthan,Jaipur,303302,11,13
02-01-2026,Rajasthan,Jaipur,303507,2,0
02-01-2026,Rajasthan,Jaipur,303706,4,10
02-01-2026,Rajasthan,Jaipur,303803,13,13
02-01-2026,Rajasthan,Jaipur,303905,11,19
02-01-2026,Rajasthan,Jaipur,303908,3,14
14-12-2025,Rajasthan,Jaipur,303109,1,3
25-12-2025,Rajasthan,Jaipur,302024,1,4
25-12-2025,Rajasthan,Jaipur,302025,0,4
29-12-2025,Rajasthan,Jaipur,302005,7,3
29-12-2025,Rajasthan,Jaipur,302017,20,22
29-12-2025,Rajasthan,Jaipur,302018,16,10
29-12-2025,Rajasthan,Jaipur,302027,9,13
29-12-2025,Rajasthan,Jaipur,303003,11,12
29-12-2025,Rajasthan,Jaipur,303005,11,11
29-12-2025,Rajasthan,Jaipur,303008,20,16
29-12-2025,Rajasthan,Jaipur,303009,9,2
29-12-2025,Rajasthan,Jaipur,303105,19,18
29-12-2025,Rajasthan,Jaipur,303107,10,11
29-12-2025,Rajasthan,Jaipur,303108,46,34
29-12-2025,Rajasthan,Jaipur,303119,18,11
29-12-2025,Rajasthan,Jaipur,303120,12,13
29-12-2025,Rajasthan,Jaipur,303305,13,4
29-12-2025,Rajasthan,Jaipur,303328,7,4
29-12-2025,Rajasthan,Jaipur,303602,10,10
29-12-2025,Rajasthan,Jaipur,303603,18,19
29-12-2025,Rajasthan,Jaipur,303604,12,14
29-12-2025,Rajasthan,Jaipur,303702,18,3
29-12-2025,Rajasthan,Jaipur,303804,12,13
29-12-2025,Rajasthan,Jaipur,303807,5,1
28-12-2025,Rajasthan,Jaipur,302011,0,1
28-12-2025,Rajasthan,Jaipur,302015,1,4
28-12-2025,Rajasthan,Jaipur,302019,7,10
28-12-2025,Rajasthan,Jaipur,302022,5,2
28-12-2025,Rajasthan,Jaipur,302028,8,11
28-12-2025,Rajasthan,Jaipur,303002,3,2
28-12-2025,Rajasthan,Jaipur,303004,1,3
28-12-2025,Rajasthan,Jaipur,303005,0,3
28-12-2025,Rajasthan,Jaipur,303006,2,3
28-12-2025,Rajasthan,Jaipur,303009,1,8
28-12-2025,Rajasthan,Jaipur,303108,9,1
28-12-2025,Rajasthan,Jaipur,303338,19,11
28-12-2025,Rajasthan,Jaipur,303604,5,11
28-12-2025,Rajasthan,Jaipur,303706,5,4
28-12-2025,Rajasthan,Jaipur,303904,2,5
27-12-2025,Rajasthan,Jaipur,302004,19,35
27-12-2025,Rajasthan,Jaipur,302013,17,23
27-12-2025,Rajasthan,Jaipur,302016,43,39
27-12-2025,Rajasthan,Jaipur,302020,32,26
27-12-2025,Rajasthan,Jaipur,302026,7,10
27-12-2025,Rajasthan,Jaipur,302029,40,37
27-12-2025,Rajasthan,Jaipur,302037,3,1
27-12-2025,Rajasthan,Jaipur,302039,23,21
27-12-2025,Rajasthan,Jaipur,303007,16,10
27-12-2025,Rajasthan,Jaipur,303108,51,22
27-12-2025,Rajasthan,Jaipur,303109,25,21
27-12-2025,Rajasthan,Jaipur,303119,18,17
27-12-2025,Rajasthan,Jaipur,303305,26,13
27-12-2025,Rajasthan,Jaipur,303348,15,10
27-12-2025,Rajasthan,Jaipur,303803,10,15
27-12-2025,Rajasthan,Jaipur,303804,9,10
27-12-2025,Rajasthan,Jaipur,303805,12,10
27-12-2025,Rajasthan,Jaipur,303806,13,5
01-01-2026,Rajasthan,Jaipur,302004,34,44
01-01-2026,Rajasthan,Jaipur,302015,34,20
01-01-2026,Rajasthan,Jaipur,302027,30,33
01-01-2026,Rajasthan,Jaipur,303006,15,16
01-01-2026,Rajasthan,Jaipur,303104,22,22
01-01-2026,Rajasthan,Jaipur,303105,10,25
01-01-2026,Rajasthan,Jaipur,303120,31,25
01-01-2026,Rajasthan,Jaipur,303121,1,1
01-01-2026,Rajasthan,Jaipur,303305,18,19
01-01-2026,Rajasthan,Jaipur,303604,22,30
01-01-2026,Rajasthan,Jaipur,303704,11,9
01-01-2026,Rajasthan,Jaipur,303712,30,27
01-01-2026,Rajasthan,Jaipur,303801,16,13
01-01-2026,Rajasthan,Jaipur,303805,23,21
01-01-2026,Rajasthan,Jaipur,303807,13,7
04-12-2025,Rajasthan,Jaipur,302025,0,1
07-12-2025,Rajasthan,Jaipur,303001,6,12
07-12-2025,Rajasthan,Jaipur,303102,6,6
07-12-2025,Rajasthan,Jaipur,303802,0,3
25-12-2025,Rajasthan,Jaipur,303109,0,6
25-12-2025,Rajasthan,Jaipur,303802,0,2
21-12-2025,Rajasthan,Jaipur,303348,1,2
21-12-2025,Rajasthan,Jaipur,303507,0,1
21-12-2025,Rajasthan,Jaipur,303712,0,1
21-12-2025,Rajasthan,Jaipur,303804,0,2
21-12-2025,Rajasthan,Jaipur,303805,1,5
21-12-2025,Rajasthan,Jaipur,303807,0,1
21-12-2025,Rajasthan,Jaipur,303904,0,6
14-12-2025,Rajasthan,Jaipur,302021,3,14
14-12-2025,Rajasthan,Jaipur,303005,1,4
14-12-2025,Rajasthan,Jaipur,303006,0,4
14-12-2025,Rajasthan,Jaipur,303105,0,4
14-12-2025,Rajasthan,Jaipur,303121,0,2
14-12-2025,Rajasthan,Jaipur,303507,2,0
14-12-2025,Rajasthan,Jaipur,303801,1,12
14-12-2025,Rajasthan,Jaipur,303803,1,6
14-12-2025,Rajasthan,Jaipur,303807,0,1
13-12-2025,Rajasthan,Jaipur,302024,0,1
07-12-2025,Rajasthan,Jaipur,302018,0,7
07-12-2025,Rajasthan,Jaipur,302031,1,38
07-12-2025,Rajasthan,Jaipur,302032,0,1
07-12-2025,Rajasthan,Jaipur,303004,0,1
07-12-2025,Rajasthan,Jaipur,303106,1,3
07-12-2025,Rajasthan,Jaipur,303704,1,4
07-12-2025,Rajasthan,Jaipur,303807,0,2
11-12-2025,Rajasthan,Jaipur,302024,0,1
28-11-2025,Rajasthan,Jaipur,302024,0,1
30-11-2025,Rajasthan,Jaipur,302023,0,2
30-11-2025,Rajasthan,Jaipur,303005,0,10
30-11-2025,Rajasthan,Jaipur,303012,0,3
30-11-2025,Rajasthan,Jaipur,303102,0,2
30-11-2025,Rajasthan,Jaipur,303103,0,3
30-11-2025,Rajasthan,Jaipur,303701,0,1
30-11-2025,Rajasthan,Jaipur,303702,0,1
30-11-2025,Rajasthan,Jaipur,303704,0,4
30-11-2025,Rajasthan,Jaipur,303706,0,4
30-11-2025,Rajasthan,Jaipur,303804,1,1
30-11-2025,Rajasthan,Jaipur,303908,0,4
01-03-2025,Rajasthan,Jaipur,302039,288,447
01-03-2025,Rajasthan,Jaipur,303109,278,431
01-03-2025,Rajasthan,Jaipur,302027,231,374
01-03-2025,Rajasthan,Jaipur,302019,159,415
01-03-2025,Rajasthan,Jaipur,302001,151,414
01-03-2025,Rajasthan,Jaipur,303103,332,894
01-04-2025,Rajasthan,Jaipur,303305,152,188
01-04-2025,Rajasthan,Jaipur,302029,454,830
01-04-2025,Rajasthan,Jaipur,303338,179,327
01-03-2025,Rajasthan,Jaipur,302011,19,61
01-03-2025,Rajasthan,Jaipur,303305,148,235
01-03-2025,Rajasthan,Jaipur,302003,350,645
01-03-2025,Rajasthan,Jaipur,303807,93,102
01-03-2025,Rajasthan,Jaipur,302032,22,54
01-03-2025,Rajasthan,Jaipur,303338,227,271
01-03-2025,Rajasthan,Jaipur,303348,101,188
01-03-2025,Rajasthan,Jaipur,303905,100,261
01-03-2025,Rajasthan,Jaipur,303104,237,270
01-03-2025,Rajasthan,Jaipur,303712,162,273
01-04-2025,Rajasthan,Jaipur,303701,142,207
01-04-2025,Rajasthan,Jaipur,303001,62,118
01-04-2025,Rajasthan,Jaipur,303801,120,223
01-04-2025,Rajasthan,Jaipur,302012,1056,2138
01-04-2025,Rajasthan,Jaipur,303003,150,147
01-04-2025,Rajasthan,Jaipur,302011,13,56
01-04-2025,Rajasthan,Jaipur,303901,170,303
01-04-2025,Rajasthan,Jaipur,303604,173,274
01-04-2025,Rajasthan,Jaipur,303603,244,484
01-04-2025,Rajasthan,Jaipur,302001,241,510
01-04-2025,Rajasthan,Jaipur,302021,295,667
01-04-2025,Rajasthan,Jaipur,303601,62,170
01-04-2025,Rajasthan,Jaipur,303109,250,309
01-04-2025,Rajasthan,Jaipur,302006,318,748
01-04-2025,Rajasthan,Jaipur,303328,189,535
01-04-2025,Rajasthan,Jaipur,302039,366,570
01-05-2025,Rajasthan,Jaipur,303007,146,233
01-05-2025,Rajasthan,Jaipur,303803,124,155
01-05-2025,Rajasthan,Jaipur,303904,97,150
01-05-2025,Rajasthan,Jaipur,303702,185,209
01-05-2025,Rajasthan,Jaipur,303102,76,144
01-05-2025,Rajasthan,Jaipur,302016,422,806
01-05-2025,Rajasthan,Jaipur,303603,267,477
01-05-2025,Rajasthan,Jaipur,302012,749,1754
01-05-2025,Rajasthan,Jaipur,303905,103,194
01-05-2025,Rajasthan,Jaipur,302017,256,600
01-05-2025,Rajasthan,Jaipur,302020,265,560
01-05-2025,Rajasthan,Jaipur,303328,174,435
01-05-2025,Rajasthan,Jaipur,303012,212,313
01-05-2025,Rajasthan,Jaipur,303008,141,228
01-05-2025,Rajasthan,Jaipur,303001,176,203
19-10-2025,Rajasthan,Jaipur,302023,1,1
19-10-2025,Rajasthan,Jaipur,303007,10,7
19-10-2025,Rajasthan,Jaipur,303601,2,5
19-10-2025,Rajasthan,Jaipur,303802,3,1
15-10-2025,Rajasthan,Jaipur,302025,0,1
26-10-2025,Rajasthan,Jaipur,303601,2,2
20-10-2025,Rajasthan,Jaipur,303305,0,1
16-10-2025,Rajasthan,Jaipur,303121,1,0
02-11-2025,Rajasthan,Jaipur,302011,2,2
02-11-2025,Rajasthan,Jaipur,303007,9,12
02-11-2025,Rajasthan,Jaipur,303102,3,19
09-11-2025,Rajasthan,Jaipur,303507,2,3
16-11-2025,Rajasthan,Jaipur,303121,1,0
17-11-2025,Rajasthan,Jaipur,303121,2,0
09-11-2025,Rajasthan,Jaipur,302025,0,1
09-11-2025,Rajasthan,Jaipur,303104,1,1
09-11-2025,Rajasthan,Jaipur,303603,0,3
09-11-2025,Rajasthan,Jaipur,303604,0,2
09-11-2025,Rajasthan,Jaipur,303702,0,2
09-11-2025,Rajasthan,Jaipur,303704,0,2
09-11-2025,Rajasthan,Jaipur,303805,1,2
08-11-2025,Rajasthan,Jaipur,303507,0,1
04-11-2025,Rajasthan,Jaipur,302025,0,1
23-11-2025,Rajasthan,Jaipur,303002,1,0
23-11-2025,Rajasthan,Jaipur,303007,0,1
23-11-2025,Rajasthan,Jaipur,303102,1,1
23-11-2025,Rajasthan,Jaipur,303104,0,2
23-11-2025,Rajasthan,Jaipur,303106,0,2
23-11-2025,Rajasthan,Jaipur,303120,1,0
23-11-2025,Rajasthan,Jaipur,303706,0,2
23-11-2025,Rajasthan,Jaipur,303802,0,1
23-11-2025,Rajasthan,Jaipur,303804,0,3
23-11-2025,Rajasthan,Jaipur,303806,0,2
22-11-2025,Rajasthan,Jaipur,302037,0,1
21-11-2025,Rajasthan,Jaipur,303119,0,6
07-11-2025,Rajasthan,Jaipur,302025,0,2
02-11-2025,Rajasthan,Jaipur,303120,0,1
02-11-2025,Rajasthan,Jaipur,303507,0,3
02-11-2025,Rajasthan,Jaipur,303701,0,1
02-11-2025,Rajasthan,Jaipur,303801,0,4
02-11-2025,Rajasthan,Jaipur,303806,0,4
06-11-2025,Rajasthan,Jaipur,302005,0,2
12-11-2025,Rajasthan,Jaipur,302037,0,7
19-11-2025,Rajasthan,Jaipur,302005,0,1
19-11-2025,Rajasthan,Jaipur,303121,0,2
16-11-2025,Rajasthan,Jaipur,303006,0,1
16-11-2025,Rajasthan,Jaipur,303106,0,6
16-11-2025,Rajasthan,Jaipur,303120,1,9
16-11-2025,Rajasthan,Jaipur,303806,0,2
01-11-2025,Rajasthan,Jaipur,302025,0,1
05-11-2025,Rajasthan,Jaipur,303102,2,6
05-11-2025,Rajasthan,Jaipur,303123,0,1
05-11-2025,Rajasthan,Jaipur,303507,0,1
05-11-2025,Rajasthan,Jaipur,303807,1,1
28-10-2025,Rajasthan,Jaipur,302005,0,1
29-10-2025,Rajasthan,Jaipur,303121,0,1
07-09-2025,Rajasthan,Jaipur,302005,0,1
07-09-2025,Rajasthan,Jaipur,302011,0,1
07-09-2025,Rajasthan,Jaipur,302037,0,1
07-09-2025,Rajasthan,Jaipur,303003,0,1
07-09-2025,Rajasthan,Jaipur,303109,0,2
07-09-2025,Rajasthan,Jaipur,303348,1,5
07-09-2025,Rajasthan,Jaipur,303601,0,1
07-09-2025,Rajasthan,Jaipur,303801,1,3
07-09-2025,Rajasthan,Jaipur,303802,0,1
07-09-2025,Rajasthan,Jaipur,303805,2,2
05-09-2025,Rajasthan,Jaipur,303102,2,10
29-08-2025,Rajasthan,Jaipur,303121,0,1
31-08-2025,Rajasthan,Jaipur,303706,0,1
31-08-2025,Rajasthan,Jaipur,303807,0,3
24-08-2025,Rajasthan,Jaipur,303712,0,1
24-08-2025,Rajasthan,Jaipur,303806,0,2
24-08-2025,Rajasthan,Jaipur,303908,1,10
19-08-2025,Rajasthan,Jaipur,302025,0,2
14-09-2025,Rajasthan,Jaipur,303002,0,1
14-09-2025,Rajasthan,Jaipur,303102,0,2
14-09-2025,Rajasthan,Jaipur,303107,0,2
14-09-2025,Rajasthan,Jaipur,303601,0,1
14-09-2025,Rajasthan,Jaipur,303701,0,2
14-09-2025,Rajasthan,Jaipur,303704,0,2
14-09-2025,Rajasthan,Jaipur,303801,0,2
23-08-2025,Rajasthan,Jaipur,303302,2,2
16-08-2025,Rajasthan,Jaipur,303105,2,10
16-08-2025,Rajasthan,Jaipur,303905,1,2
