date,state,district,pincode,bio_age_5_17,bio_age_17_
03-01-2026,Uttar Pradesh,Kanpur Nagar,208001,9,15
03-01-2026,Uttar Pradesh,Kanpur Nagar,208010,2,5
03-01-2026,Uttar Pradesh,Kanpur Nagar,208011,4,5
03-01-2026,Uttar Pradesh,Kanpur Nagar,208014,3,1
03-01-2026,Uttar Pradesh,Kanpur Nagar,208021,2,5
03-01-2026,Uttar Pradesh,Kanpur Nagar,208025,1,3
03-01-2026,Uttar Pradesh,Kanpur Nagar,208027,3,6
03-01-2026,Uttar Pradesh,Kanpur Nagar,209202,4,2
03-01-2026,Uttar Pradesh,Kanpur Nagar,209203,4,0
03-01-2026,Uttar Pradesh,Kanpur Nagar,209205,1,1
03-01-2026,Uttar Pradesh,Kanpur Nagar,209214,4,2
03-01-2026,Uttar Pradesh,Kanpur Nagar,209217,1,0
03-01-2026,Uttar Pradesh,Kanpur Nagar,209402,1,2
02-01-2026,Uttar Pradesh,Kanpur Nagar,208003,8,13
02-01-2026,Uttar Pradesh,Kanpur Nagar,209206,21,26
02-01-2026,Uttar Pradesh,Kanpur Nagar,209305,1,0
02-01-2026,Uttar Pradesh,Kanpur Nagar,209311,0,1
25-12-2025,Uttar Pradesh,Kanpur Nagar,208009,1,1
29-12-2025,Uttar Pradesh,Kanpur Nagar,208002,11,12
29-12-2025,Uttar Pradesh,Kanpur Nagar,208005,5,7
29-12-2025,Uttar Pradesh,Kanpur Nagar,208006,3,11
29-12-2025,Uttar Pradesh,Kanpur Nagar,208007,8,5
29-12-2025,Uttar Pradesh,Kanpur Nagar,208011,11,11
29-12-2025,Uttar Pradesh,Kanpur Nagar,208013,4,2
29-12-2025,Uttar Pradesh,Kanpur Nagar,208019,13,19
29-12-2025,Uttar Pradesh,Kanpur Nagar,208021,13,23
29-12-2025,Uttar Pradesh,Kanpur Nagar,208027,23,17
29-12-2025,Uttar Pradesh,Kanpur Nagar,209121,6,2
29-12-2025,Uttar Pradesh,Kanpur Nagar,209206,33,30
29-12-2025,Uttar Pradesh,Kanpur Nagar,209217,7,6
29-12-2025,Uttar Pradesh,Kanpur Nagar,209304,2,2
29-12-2025,Uttar Pradesh,Kanpur Nagar,209402,6,6
28-12-2025,Uttar Pradesh,Kanpur Nagar,208002,4,5
28-12-2025,Uttar Pradesh,Kanpur Nagar,208006,2,2
28-12-2025,Uttar Pradesh,Kanpur Nagar,208011,0,8
28-12-2025,Uttar Pradesh,Kanpur Nagar,208015,2,0
28-12-2025,Uttar Pradesh,Kanpur Nagar,208023,1,0
28-12-2025,Uttar Pradesh,Kanpur Nagar,208026,1,0
28-12-2025,Uttar Pradesh,Kanpur Nagar,208027,4,3
28-12-2025,Uttar Pradesh,Kanpur Nagar,209121,0,1
28-12-2025,Uttar Pradesh,Kanpur Nagar,209206,10,3
28-12-2025,Uttar Pradesh,Kanpur Nagar,209209,1,1
28-12-2025,Uttar Pradesh,Kanpur Nagar,209210,2,2
27-12-2025,Uttar Pradesh,Kanpur Nagar,208005,4,7
27-12-2025,Uttar Pradesh,Kanpur Nagar,208010,6,23
