date,state,district,pincode,bio_age_5_17,bio_age_17_
03-01-2026,Uttar Pradesh,Lucknow,226002,3,4
03-01-2026,Uttar Pradesh,Lucknow,226003,11,13
03-01-2026,Uttar Pradesh,Lucknow,226022,5,3
03-01-2026,Uttar Pradesh,Lucknow,226023,0,1
03-01-2026,Uttar Pradesh,Lucknow,226024,2,1
03-01-2026,Uttar Pradesh,Lucknow,226025,2,1
03-01-2026,Uttar Pradesh,Lucknow,226026,1,2
03-01-2026,Uttar Pradesh,Lucknow,227105,1,0
03-01-2026,Uttar Pradesh,Lucknow,227107,6,5
03-01-2026,Uttar Pradesh,Lucknow,227111,1,5
03-01-2026,Uttar Pradesh,Lucknow,227115,1,0
02-01-2026,Uttar Pradesh,Lucknow,226002,37,30
02-01-2026,Uttar Pradesh,Lucknow,226006,10,9
02-01-2026,Uttar Pradesh,Lucknow,226010,21,18
02-01-2026,Uttar Pradesh,Lucknow,226014,5,1
02-01-2026,Uttar Pradesh,Lucknow,226019,0,1
02-01-2026,Uttar Pradesh,Lucknow,227105,4,10
29-12-2025,Uttar Pradesh,Lucknow,226001,17,17
29-12-2025,Uttar Pradesh,Lucknow,226003,62,64
29-12-2025,Uttar Pradesh,Lucknow,226014,4,0
29-12-2025,Uttar Pradesh,Lucknow,226017,17,15
29-12-2025,Uttar Pradesh,Lucknow,226024,9,8
29-12-2025,Uttar Pradesh,Lucknow,226203,1,2
28-12-2025,Uttar Pradesh,Lucknow,226004,16,8
28-12-2025,Uttar Pradesh,Lucknow,226010,11,13
28-12-2025,Uttar Pradesh,Lucknow,226014,0,1
28-12-2025,Uttar Pradesh,Lucknow,226028,6,2
28-12-2025,Uttar Pradesh,Lucknow,226401,7,2
28-12-2025,Uttar Pradesh,Lucknow,227101,1,3
28-12-2025,Uttar Pradesh,Lucknow,227105,5,1
28-12-2025,Uttar Pradesh,Lucknow,227205,15,6
28-12-2025,Uttar Pradesh,Lucknow,227309,8,2
27-12-2025,Uttar Pradesh,Lucknow,226011,18,7
27-12-2025,Uttar Pradesh,Lucknow,226031,3,2
27-12-2025,Uttar Pradesh,Lucknow,226302,2,2
27-12-2025,Uttar Pradesh,Lucknow,226401,14,2
27-12-2025,Uttar Pradesh,Lucknow,227105,7,5
27-12-2025,Uttar Pradesh,Lucknow,227116,9,8
01-01-2026,Uttar Pradesh,Lucknow,226002,54,54
01-01-2026,Uttar Pradesh,Lucknow,226004,30,37
01-01-2026,Uttar Pradesh,Lucknow,226006,9,10
01-01-2026,Uttar Pradesh,Lucknow,226015,2,4
01-01-2026,Uttar Pradesh,Lucknow,226019,1,1
01-01-2026,Uttar Pradesh,Lucknow,226030,1,0
01-01-2026,Uttar Pradesh,Lucknow,226031,5,2
01-01-2026,Uttar Pradesh,Lucknow,226301,11,3
01-01-2026,Uttar Pradesh,Lucknow,226302,1,3
01-01-2026,Uttar Pradesh,Lucknow,227107,25,59
01-01-2026,Uttar Pradesh,Lucknow,227305,22,51
01-01-2026,Uttar Pradesh,Lucknow,227308,25,25
01-01-2026,Uttar Pradesh,Lucknow,227309,32,28
29-12-2025,Uttar Pradesh,Lucknow,227101,12,2
29-12-2025,Uttar Pradesh,Lucknow,227105,0,3
29-12-2025,Uttar Pradesh,Lucknow,227107,21,11
29-12-2025,Uttar Pradesh,Lucknow,227111,7,12
29-12-2025,Uttar Pradesh,Lucknow,227205,13,8
04-12-2025,Uttar Pradesh,Lucknow,226009,1,1
25-12-2025,Uttar Pradesh,Lucknow,226024,0,8
25-12-2025,Uttar Pradesh,Lucknow,226029,1,6
25-12-2025,Uttar Pradesh,Lucknow,227309,0,1
26-12-2025,Uttar Pradesh,Lucknow,226202,0,1
18-12-2025,Uttar Pradesh,Lucknow,226201,1,5
21-12-2025,Uttar Pradesh,Lucknow,226031,1,3
21-12-2025,Uttar Pradesh,Lucknow,226301,0,4
14-12-2025,Uttar Pradesh,Lucknow,226019,0,1
14-12-2025,Uttar Pradesh,Lucknow,226031,0,3
14-12-2025,Uttar Pradesh,Lucknow,226301,1,2
14-12-2025,Uttar Pradesh,Lucknow,227115,0,32
14-12-2025,Uttar Pradesh,Lucknow,227305,0,16
14-12-2025,Uttar Pradesh,Lucknow,227309,0,8
09-12-2025,Uttar Pradesh,Lucknow,226019,0,5
09-12-2025,Uttar Pradesh,Lucknow,227207,0,1
07-12-2025,Uttar Pradesh,Lucknow,226007,0,1
