date,state,district,pincode,bio_age_5_17,bio_age_17_
30-11-2025,Delhi,New Delhi,110021,0,1
27-11-2025,Delhi,New Delhi,110011,0,2
23-11-2025,Delhi,New Delhi,110023,0,2
24-11-2025,Delhi,New Delhi,110023,2,0
17-11-2025,Delhi,New Delhi,110011,0,2
13-11-2025,Delhi,New Delhi,110011,0,2
07-11-2025,Delhi,New Delhi,110011,1,2
27-12-2025,Delhi,New Delhi,110021,5,1
28-12-2025,Delhi,New Delhi,110021,1,2
14-12-2025,Delhi,New Delhi,110011,0,2
02-01-2026,Delhi,New Delhi,110001,13,5
12-12-2025,Delhi,New Delhi,110023,0,1
07-12-2025,Delhi,New Delhi,110011,0,1
02-11-2025,Delhi,New Delhi,110001,2,9
13-10-2025,Delhi,New Delhi,110023,0,2
11-10-2025,Delhi,New Delhi,110011,0,1
03-10-2025,Delhi,New Delhi,110011,0,1
08-10-2025,Delhi,New Delhi,110023,0,1
12-10-2025,Delhi,New Delhi,110021,0,1
21-09-2025,Delhi,New Delhi,110021,0,4
26-10-2025,Delhi,New Delhi,110023,0,1
01-10-2025,Delhi,New Delhi,110023,0,2
15-08-2025,Delhi,New Delhi,110001,0,1
03-09-2025,Delhi,New Delhi,110023,0,6
01-09-2025,Delhi,New Delhi,110023,0,2
29-08-2025,Delhi,New Delhi,110023,0,1
05-09-2025,Delhi,New Delhi,110021,0,2
12-09-2025,Delhi,New Delhi,110011,0,1
12-09-2025,Delhi,New Delhi,110023,0,1
10-10-2025,Delhi,New Delhi,110001,5,4
09-11-2025,Delhi,New Delhi,110001,0,1
06-11-2025,Delhi,New Delhi,110021,3,9
12-11-2025,Delhi,New Delhi,110021,6,2
22-10-2025,Delhi,New Delhi,110001,6,8
30-09-2025,Delhi,New Delhi,110001,0,2
06-10-2025,Delhi,New Delhi,110023,0,1
26-10-2025,Delhi,New Delhi,110021,0,1
11-10-2025,Delhi,New Delhi,110001,3,9
27-10-2025,Delhi,New Delhi,110001,3,6
04-10-2025,Delhi,New Delhi,110023,0,1
31-10-2025,Delhi,New Delhi,110001,3,7
29-10-2025,Delhi,New Delhi,110023,0,1
30-10-2025,Delhi,New Delhi,110001,4,7
25-10-2025,Delhi,New Delhi,110001,6,3
29-09-2025,Delhi,New Delhi,110001,8,3
29-09-2025,Delhi,New Delhi,110021,6,2
07-11-2025,Delhi,New Delhi,110023,2,1
03-12-2025,Delhi,New Delhi,110011,0,1
05-12-2025,Delhi,New Delhi,110001,3,8
05-12-2025,Delhi,New Delhi,110023,0,1
21-11-2025,Delhi,New Delhi,110021,1,4
20-11-2025,Delhi,New Delhi,110001,4,3
20-11-2025,Delhi,New Delhi,110011,0,1
20-11-2025,Delhi,New Delhi,110023,1,0
26-11-2025,Delhi,New Delhi,110021,1,0
19-11-2025,Delhi,New Delhi,110001,5,14
24-11-2025,Delhi,New Delhi,110001,11,7
24-11-2025,Delhi,New Delhi,110021,3,5
30-11-2025,Delhi,New Delhi,110001,2,0
15-12-2025,Delhi,New Delhi,110001,8,6
09-12-2025,Delhi,New Delhi,110021,1,6
11-12-2025,Delhi,New Delhi,110021,8,5
18-10-2025,Delhi,New Delhi,110001,1,2
25-06-2025,Delhi,New Delhi,110023,1,2
20-07-2025,Delhi,New Delhi,110023,0,6
21-07-2025,Delhi,New Delhi,110011,0,2
29-05-2025,Delhi,New Delhi,110023,0,1
30-05-2025,Delhi,New Delhi,110011,0,1
07-06-2025,Delhi,New Delhi,110023,0,4
22-05-2025,Delhi,New Delhi,110023,0,3
17-07-2025,Delhi,New Delhi,110011,0,1
17-07-2025,Delhi,New Delhi,110023,0,3
28-07-2025,Delhi,New Delhi,110023,0,3
24-07-2025,Delhi,New Delhi,110011,0,3
26-07-2025,Delhi,New Delhi,110001,10,3
22-07-2025,Delhi,New Delhi,110021,3,6
07-08-2025,Delhi,New Delhi,110021,7,3
21-08-2025,Delhi,New Delhi,110001,3,9
20-08-2025,Delhi,New Delhi,110001,1,9
06-08-2025,Delhi,New Delhi,110001,4,6
06-08-2025,Delhi,New Delhi,110021,8,1
23-07-2025,Delhi,New Delhi,110001,6,6
20-07-2025,Delhi,New Delhi,110021,0,1
29-07-2025,Delhi,New Delhi,110021,1,3
10-08-2025,Delhi,New Delhi,110021,1,0
08-08-2025,Delhi,New Delhi,110021,0,3
26-08-2025,Delhi,New Delhi,110021,5,6
16-09-2025,Delhi,New Delhi,110021,8,4
16-09-2025,Delhi,New Delhi,110023,1,0
10-09-2025,Delhi,New Delhi,110021,8,5
17-09-2025,Delhi,New Delhi,110001,13,3
28-08-2025,Delhi,New Delhi,110021,3,2
02-09-2025,Delhi,New Delhi,110021,3,1
01-10-2025,Delhi,New Delhi,110001,3,6
05-09-2025,Delhi,New Delhi,110001,1,0
06-09-2025,Delhi,New Delhi,110011,0,3
14-09-2025,Delhi,New Delhi,110021,2,0
15-09-2025,Delhi,New Delhi,110023,0,2
12-09-2025,Delhi,New Delhi,110021,11,5
20-09-2025,Delhi,New Delhi,110001,5,8
20-09-2025,Delhi,New Delhi,110021,9,4
21-09-2025,Delhi,New Delhi,110001,1,0
03-09-2025,Delhi,New Delhi,110021,5,5
04-09-2025,Delhi,New Delhi,110023,0,4
23-05-2025,Delhi,New Delhi,110001,5,7
28-05-2025,Delhi,New Delhi,110001,5,6
28-05-2025,Delhi,New Delhi,110021,7,2
26-05-2025,Delhi,New Delhi,110021,8,5
26-05-2025,Delhi,New Delhi,110023,0,1
31-05-2025,Delhi,New Delhi,110021,2,4
04-06-2025,Delhi,New Delhi,110001,1,5
05-06-2025,Delhi,New Delhi,110001,4,9
05-06-2025,Delhi,New Delhi,110021,5,10
07-06-2025,Delhi,New Delhi,110021,1,0
22-06-2025,Delhi,New Delhi,110011,0,2
