date,state,district,pincode,bio_age_5_17,bio_age_17_
29-12-2025,Bihar,Patna,800001,14,14
29-12-2025,Bihar,Patna,800007,9,15
29-12-2025,Bihar,Patna,800011,2,1
29-12-2025,Bihar,Patna,800012,7,9
29-12-2025,Bihar,Patna,800016,1,1
29-12-2025,Bihar,Patna,801103,10,15
29-12-2025,Bihar,Patna,801110,8,7
29-12-2025,Bihar,Patna,801113,11,3
29-12-2025,Bihar,Patna,801305,2,0
29-12-2025,Bihar,Patna,803110,2,4
29-12-2025,Bihar,Patna,803202,11,14
29-12-2025,Bihar,Patna,803203,0,2
29-12-2025,Bihar,Patna,803211,5,12
28-12-2025,Bihar,Patna,800001,4,8
28-12-2025,Bihar,Patna,800007,7,1
28-12-2025,Bihar,Patna,800008,8,6
28-12-2025,Bihar,Patna,800010,0,1
28-12-2025,Bihar,Patna,800023,1,1
28-12-2025,Bihar,Patna,800025,1,3
28-12-2025,Bihar,Patna,801108,17,17
28-12-2025,Bihar,Patna,801305,1,0
28-12-2025,Bihar,Patna,801505,5,5
28-12-2025,Bihar,Patna,803203,2,1
01-01-2026,Bihar,Patna,800006,14,19
01-01-2026,Bihar,Patna,800008,30,43
01-01-2026,Bihar,Patna,800009,25,14
01-01-2026,Bihar,Patna,800011,3,5
01-01-2026,Bihar,Patna,800018,2,1
01-01-2026,Bihar,Patna,800111,5,9
01-01-2026,Bihar,Patna,801104,22,26
01-01-2026,Bihar,Patna,802160,1,0
01-01-2026,Bihar,Patna,803110,6,10
01-01-2026,Bihar,Patna,803201,49,59
01-01-2026,Bihar,Patna,803214,12,11
01-01-2026,Bihar,Patna,803303,1,3
01-01-2026,Bihar,Patna,804426,1,3
03-01-2026,Bihar,Patna,800001,3,6
03-01-2026,Bihar,Patna,800009,1,1
03-01-2026,Bihar,Patna,800020,0,5
03-01-2026,Bihar,Patna,800111,1,2
03-01-2026,Bihar,Patna,801105,0,2
03-01-2026,Bihar,Patna,801305,1,0
03-01-2026,Bihar,Patna,801506,0,1
03-01-2026,Bihar,Patna,803203,0,3
03-01-2026,Bihar,Patna,803213,1,2
02-01-2026,Bihar,Patna,800002,6,9
02-01-2026,Bihar,Patna,800004,7,5
02-01-2026,Bihar,Patna,800006,10,32
02-01-2026,Bihar,Patna,800009,11,11
02-01-2026,Bihar,Patna,801110,10,10
02-01-2026,Bihar,Patna,801117,2,0
02-01-2026,Bihar,Patna,804423,2,2
02-01-2026,Bihar,Patna,804454,5,3
03-12-2025,Bihar,Patna,803307,0,2
14-12-2025,Bihar,Patna,803203,1,1
20-12-2025,Bihar,Patna,803203,1,0
27-12-2025,Bihar,Patna,800006,10,15
27-12-2025,Bihar,Patna,800011,6,2
27-12-2025,Bihar,Patna,800025,1,3
27-12-2025,Bihar,Patna,800026,2,3
27-12-2025,Bihar,Patna,800111,3,10
27-12-2025,Bihar,Patna,801102,9,10
27-12-2025,Bihar,Patna,801110,6,9
27-12-2025,Bihar,Patna,801113,1,4
27-12-2025,Bihar,Patna,801304,0,1
27-12-2025,Bihar,Patna,803206,0,1
27-12-2025,Bihar,Patna,803212,15,9
25-12-2025,Bihar,Patna,800012,0,16
25-12-2025,Bihar,Patna,800013,1,6
25-12-2025,Bihar,Patna,800015,0,1
25-12-2025,Bihar,Patna,800023,0,8
25-12-2025,Bihar,Patna,800025,0,8
25-12-2025,Bihar,Patna,804454,0,11
18-12-2025,Bihar,Patna,803303,0,7
