date,state,district,pincode,bio_age_5_17,bio_age_17_
03-01-2026,Uttar Pradesh,Shahjahanpur,242001,23,19
03-01-2026,Uttar Pradesh,Shahjahanpur,242042,9,6
03-01-2026,Uttar Pradesh,Shahjahanpur,242220,1,1
03-01-2026,Uttar Pradesh,Shahjahanpur,242226,1,0
03-01-2026,Uttar Pradesh,Shahjahanpur,242301,7,1
03-01-2026,Uttar Pradesh,Shahjahanpur,242303,2,1
02-01-2026,Uttar Pradesh,Shahjahanpur,242221,59,29
02-01-2026,Uttar Pradesh,Shahjahanpur,242301,26,18
02-01-2026,Uttar Pradesh,Shahjahanpur,242303,3,9
28-12-2025,Uttar Pradesh,Shahjahanpur,242042,5,8
28-12-2025,Uttar Pradesh,Shahjahanpur,242303,11,5
28-12-2025,Uttar Pradesh,Shahjahanpur,242306,0,1
27-12-2025,Uttar Pradesh,Shahjahanpur,242127,23,13
27-12-2025,Uttar Pradesh,Shahjahanpur,242220,11,3
27-12-2025,Uttar Pradesh,Shahjahanpur,242306,12,15
01-01-2026,Uttar Pradesh,Shahjahanpur,242223,18,6
01-01-2026,Uttar Pradesh,Shahjahanpur,242226,6,1
29-12-2025,Uttar Pradesh,Shahjahanpur,242123,3,1
29-12-2025,Uttar Pradesh,Shahjahanpur,242401,51,23
21-12-2025,Uttar Pradesh,Shahjahanpur,242127,1,19
21-12-2025,Uttar Pradesh,Shahjahanpur,242220,0,14
21-12-2025,Uttar Pradesh,Shahjahanpur,242303,0,13
21-12-2025,Uttar Pradesh,Shahjahanpur,242305,1,15
14-12-2025,Uttar Pradesh,Shahjahanpur,242223,0,5
14-12-2025,Uttar Pradesh,Shahjahanpur,242306,1,15
30-11-2025,Uttar Pradesh,Shahjahanpur,242123,0,1
30-11-2025,Uttar Pradesh,Shahjahanpur,242226,0,3
30-11-2025,Uttar Pradesh,Shahjahanpur,242401,0,38
01-03-2025,Uttar Pradesh,Shahjahanpur,242303,566,184
01-03-2025,Uttar Pradesh,Shahjahanpur,242220,182,72
01-03-2025,Uttar Pradesh,Shahjahanpur,242406,581,162
01-04-2025,Uttar Pradesh,Shahjahanpur,242221,1262,502
01-04-2025,Uttar Pradesh,Shahjahanpur,242220,170,79
01-04-2025,Uttar Pradesh,Shahjahanpur,242301,688,249
01-04-2025,Uttar Pradesh,Shahjahanpur,242001,3230,1397
01-05-2025,Uttar Pradesh,Shahjahanpur,242127,507,149
09-11-2025,Uttar Pradesh,Shahjahanpur,242123,0,1
02-11-2025,Uttar Pradesh,Shahjahanpur,242226,0,1
02-11-2025,Uttar Pradesh,Shahjahanpur,242305,2,7
02-11-2025,Uttar Pradesh,Shahjahanpur,242306,3,10
23-11-2025,Uttar Pradesh,Shahjahanpur,242220,0,9
05-09-2025,Uttar Pradesh,Shahjahanpur,242223,2,12
24-08-2025,Uttar Pradesh,Shahjahanpur,242223,4,14
24-08-2025,Uttar Pradesh,Shahjahanpur,242405,3,17
16-08-2025,Uttar Pradesh,Shahjahanpur,242220,2,15
16-08-2025,Uttar Pradesh,Shahjahanpur,242226,0,5
15-08-2025,Uttar Pradesh,Shahjahanpur,242042,3,36
15-08-2025,Uttar Pradesh,Shahjahanpur,242405,0,15
15-08-2025,Uttar Pradesh,Shahjahanpur,242406,2,11
15-08-2025,Uttar Pradesh,Shahjahanpur,242407,1,32
17-08-2025,Uttar Pradesh,Shahjahanpur,242042,1,27
17-08-2025,Uttar Pradesh,Shahjahanpur,242123,0,1
17-08-2025,Uttar Pradesh,Shahjahanpur,242306,0,8
05-10-2025,Uttar Pradesh,Shahjahanpur,242306,1,8
19-10-2025,Uttar Pradesh,Shahjahanpur,242123,0,1
19-10-2025,Uttar Pradesh,Shahjahanpur,242303,2,16
