date,state,district,pincode,demo_age_5_17,demo_age_17_
01-05-2025,Uttar Pradesh,Bareilly,243123,209,2179
01-03-2025,Uttar Pradesh,Bareilly,243506,78,984
01-03-2025,Uttar Pradesh,Bareilly,243505,237,2971
01-03-2025,Uttar Pradesh,Bareilly,243123,240,2511
02-09-2025,Uttar Pradesh,Bareilly,243202,10,80
02-09-2025,Uttar Pradesh,Bareilly,243505,25,98
01-09-2025,Uttar Pradesh,Bareilly,243004,0,1
01-09-2025,Uttar Pradesh,Bareilly,243006,4,18
01-09-2025,Uttar Pradesh,Bareilly,243301,3,43
03-09-2025,Uttar Pradesh,Bareilly,243122,13,66
03-09-2025,Uttar Pradesh,Bareilly,243302,22,49
03-09-2025,Uttar Pradesh,Bareilly,243403,0,4
03-09-2025,Uttar Pradesh,Bareilly,243502,3,38
03-09-2025,Uttar Pradesh,Bareilly,262407,12,22
04-09-2025,Uttar Pradesh,Bareilly,243001,17,96
04-09-2025,Uttar Pradesh,Bareilly,243301,23,89
04-09-2025,Uttar Pradesh,Bareilly,243302,27,76
04-09-2025,Uttar Pradesh,Bareilly,243403,0,3
04-09-2025,Uttar Pradesh,Bareilly,243503,28,147
04-09-2025,Uttar Pradesh,Bareilly,243504,11,43
04-09-2025,Uttar Pradesh,Bareilly,262407,5,32
05-09-2025,Uttar Pradesh,Bareilly,243005,0,10
05-09-2025,Uttar Pradesh,Bareilly,243122,1,33
05-09-2025,Uttar Pradesh,Bareilly,243302,4,28
05-09-2025,Uttar Pradesh,Bareilly,243303,8,51
05-09-2025,Uttar Pradesh,Bareilly,243402,10,29
05-09-2025,Uttar Pradesh,Bareilly,243501,3,6
05-09-2025,Uttar Pradesh,Bareilly,243502,3,10
07-09-2025,Uttar Pradesh,Bareilly,243501,1,10
06-09-2025,Uttar Pradesh,Bareilly,243202,9,83
06-09-2025,Uttar Pradesh,Bareilly,262407,9,52
08-09-2025,Uttar Pradesh,Bareilly,243001,25,141
08-09-2025,Uttar Pradesh,Bareilly,243122,11,76
08-09-2025,Uttar Pradesh,Bareilly,243303,16,99
08-09-2025,Uttar Pradesh,Bareilly,243407,3,22
08-09-2025,Uttar Pradesh,Bareilly,262203,0,1
08-09-2025,Uttar Pradesh,Bareilly,262407,11,57
09-09-2025,Uttar Pradesh,Bareilly,243122,16,101
09-09-2025,Uttar Pradesh,Bareilly,243123,12,80
09-09-2025,Uttar Pradesh,Bareilly,243202,20,111
09-09-2025,Uttar Pradesh,Bareilly,262001,0,1
10-09-2025,Uttar Pradesh,Bareilly,243002,0,1
10-09-2025,Uttar Pradesh,Bareilly,243006,3,39
10-09-2025,Uttar Pradesh,Bareilly,243123,13,83
10-09-2025,Uttar Pradesh,Bareilly,243301,28,76
10-09-2025,Uttar Pradesh,Bareilly,243403,3,3
10-09-2025,Uttar Pradesh,Bareilly,243502,12,63
