date,state,district,pincode,demo_age_5_17,demo_age_17_
01-03-2025,Uttar Pradesh,Gorakhpur,273213,49,529
01-03-2025,Uttar Pradesh,Gorakhpur,273211,61,836
01-03-2025,Uttar Pradesh,Gorakhpur,273016,193,1122
01-03-2025,Uttar Pradesh,Gorakhpur,273015,210,1456
01-03-2025,Uttar Pradesh,Gorakhpur,273407,107,1319
01-03-2025,Uttar Pradesh,Gorakhpur,273411,68,939
01-03-2025,Uttar Pradesh,Gorakhpur,273201,108,1364
01-03-2025,Uttar Pradesh,Gorakhpur,273165,228,2138
01-09-2025,Uttar Pradesh,Gorakhpur,273001,4,51
01-09-2025,Uttar Pradesh,Gorakhpur,273002,13,35
01-09-2025,Uttar Pradesh,Gorakhpur,273008,4,20
01-09-2025,Uttar Pradesh,Gorakhpur,273010,8,27
01-09-2025,Uttar Pradesh,Gorakhpur,273014,5,36
01-09-2025,Uttar Pradesh,Gorakhpur,273017,1,5
01-09-2025,Uttar Pradesh,Gorakhpur,273203,2,25
01-09-2025,Uttar Pradesh,Gorakhpur,273211,6,29
01-09-2025,Uttar Pradesh,Gorakhpur,273403,6,42
01-09-2025,Uttar Pradesh,Gorakhpur,273409,10,38
02-09-2025,Uttar Pradesh,Gorakhpur,273007,20,57
02-09-2025,Uttar Pradesh,Gorakhpur,273014,4,35
02-09-2025,Uttar Pradesh,Gorakhpur,273015,5,76
02-09-2025,Uttar Pradesh,Gorakhpur,273016,5,54
02-09-2025,Uttar Pradesh,Gorakhpur,273202,12,45
02-09-2025,Uttar Pradesh,Gorakhpur,273405,4,18
02-09-2025,Uttar Pradesh,Gorakhpur,273411,7,43
03-09-2025,Uttar Pradesh,Gorakhpur,273002,11,28
03-09-2025,Uttar Pradesh,Gorakhpur,273003,1,3
03-09-2025,Uttar Pradesh,Gorakhpur,273005,2,6
03-09-2025,Uttar Pradesh,Gorakhpur,273010,5,10
03-09-2025,Uttar Pradesh,Gorakhpur,273017,0,3
03-09-2025,Uttar Pradesh,Gorakhpur,273152,6,37
03-09-2025,Uttar Pradesh,Gorakhpur,273158,8,45
03-09-2025,Uttar Pradesh,Gorakhpur,273161,0,6
03-09-2025,Uttar Pradesh,Gorakhpur,273211,6,28
03-09-2025,Uttar Pradesh,Gorakhpur,273213,2,26
03-09-2025,Uttar Pradesh,Gorakhpur,273306,2,32
03-09-2025,Uttar Pradesh,Gorakhpur,273405,3,15
