date,state,district,pincode,demo_age_5_17,demo_age_17_
01-03-2025,Rajasthan,Jaipur,303110,86,893
01-03-2025,Rajasthan,Jaipur,303901,69,900
01-03-2025,Rajasthan,Jaipur,303805,78,660
01-03-2025,Rajasthan,Jaipur,303908,48,931
01-03-2025,Rajasthan,Jaipur,303005,65,853
01-03-2025,Rajasthan,Jaipur,303507,11,64
01-03-2025,Rajasthan,Jaipur,303003,76,583
01-04-2025,Rajasthan,Jaipur,302022,47,335
01-04-2025,Rajasthan,Jaipur,303012,90,549
01-04-2025,Rajasthan,Jaipur,303702,59,401
01-04-2025,Rajasthan,Jaipur,302031,162,1221
01-04-2025,Rajasthan,Jaipur,302033,149,886
01-04-2025,Rajasthan,Jaipur,302027,106,837
01-04-2025,Rajasthan,Jaipur,302002,142,1445
01-04-2025,Rajasthan,Jaipur,302034,60,381
01-05-2025,Rajasthan,Jaipur,302039,128,872
01-05-2025,Rajasthan,Jaipur,302027,86,708
01-03-2025,Rajasthan,Jaipur,303604,71,595
01-03-2025,Rajasthan,Jaipur,303601,28,177
01-03-2025,Rajasthan,Jaipur,303806,35,560
01-03-2025,Rajasthan,Jaipur,302017,162,1157
01-03-2025,Rajasthan,Jaipur,302015,42,419
01-03-2025,Rajasthan,Jaipur,302022,31,312
01-03-2025,Rajasthan,Jaipur,303904,38,794
01-07-2025,Rajasthan,Jaipur,302029,232,1685
01-07-2025,Rajasthan,Jaipur,302017,196,1511
01-09-2025,Rajasthan,Jaipur,302011,1,2
01-09-2025,Rajasthan,Jaipur,302024,0,1
01-09-2025,Rajasthan,Jaipur,302034,0,8
01-09-2025,Rajasthan,Jaipur,302039,9,23
01-09-2025,Rajasthan,Jaipur,303004,1,1
01-09-2025,Rajasthan,Jaipur,303104,1,9
01-09-2025,Rajasthan,Jaipur,303108,8,39
01-09-2025,Rajasthan,Jaipur,303601,2,7
01-09-2025,Rajasthan,Jaipur,303604,2,6
01-09-2025,Rajasthan,Jaipur,303712,1,4
01-09-2025,Rajasthan,Jaipur,303807,0,3
01-09-2025,Rajasthan,Jaipur,303905,1,13
01-09-2025,Rajasthan,Jaipur,303908,2,13
02-09-2025,Rajasthan,Jaipur,302006,2,22
02-09-2025,Rajasthan,Jaipur,302012,13,84
02-09-2025,Rajasthan,Jaipur,302029,6,38
02-09-2025,Rajasthan,Jaipur,302032,0,4
02-09-2025,Rajasthan,Jaipur,303001,0,2
02-09-2025,Rajasthan,Jaipur,303004,0,3
02-09-2025,Rajasthan,Jaipur,303104,3,13
02-09-2025,Rajasthan,Jaipur,303302,1,2
02-09-2025,Rajasthan,Jaipur,303305,0,5
02-09-2025,Rajasthan,Jaipur,303348,0,4
