date,state,district,pincode,demo_age_5_17,demo_age_17_
01-03-2025,Uttar Pradesh,Kanpur Nagar,209205,42,755
01-03-2025,Uttar Pradesh,Kanpur Nagar,208020,49,753
01-03-2025,Uttar Pradesh,Kanpur Nagar,209217,67,745
01-03-2025,Uttar Pradesh,Kanpur Nagar,208013,40,403
01-03-2025,Uttar Pradesh,Kanpur Nagar,208016,27,281
01-03-2025,Uttar Pradesh,Kanpur Nagar,208002,79,905
01-05-2025,Uttar Pradesh,Kanpur Nagar,208001,398,5619
01-03-2025,Uttar Pradesh,Kanpur Nagar,209214,73,1053
01-03-2025,Uttar Pradesh,Kanpur Nagar,208027,110,1353
01-09-2025,Uttar Pradesh,Kanpur Nagar,208002,2,33
01-09-2025,Uttar Pradesh,Kanpur Nagar,208003,2,15
01-09-2025,Uttar Pradesh,Kanpur Nagar,208006,0,12
01-09-2025,Uttar Pradesh,Kanpur Nagar,208009,1,0
01-09-2025,Uttar Pradesh,Kanpur Nagar,208025,0,17
01-09-2025,Uttar Pradesh,Kanpur Nagar,209202,25,88
01-09-2025,Uttar Pradesh,Kanpur Nagar,209206,28,131
01-09-2025,Uttar Pradesh,Kanpur Nagar,209209,4,27
01-09-2025,Uttar Pradesh,Kanpur Nagar,209217,8,35
01-09-2025,Uttar Pradesh,Kanpur Nagar,209305,1,4
01-09-2025,Uttar Pradesh,Kanpur Nagar,209307,0,1
02-09-2025,Uttar Pradesh,Kanpur Nagar,208010,0,19
02-09-2025,Uttar Pradesh,Kanpur Nagar,208012,0,25
02-09-2025,Uttar Pradesh,Kanpur Nagar,208020,0,15
02-09-2025,Uttar Pradesh,Kanpur Nagar,208025,1,13
02-09-2025,Uttar Pradesh,Kanpur Nagar,209121,1,6
02-09-2025,Uttar Pradesh,Kanpur Nagar,209202,11,75
02-09-2025,Uttar Pradesh,Kanpur Nagar,209209,5,13
02-09-2025,Uttar Pradesh,Kanpur Nagar,209210,3,19
02-09-2025,Uttar Pradesh,Kanpur Nagar,209306,1,0
02-09-2025,Uttar Pradesh,Kanpur Nagar,209402,6,45
03-09-2025,Uttar Pradesh,Kanpur Nagar,208004,4,21
03-09-2025,Uttar Pradesh,Kanpur Nagar,208007,6,28
03-09-2025,Uttar Pradesh,Kanpur Nagar,208013,1,20
03-09-2025,Uttar Pradesh,Kanpur Nagar,208014,4,32
03-09-2025,Uttar Pradesh,Kanpur Nagar,208017,2,33
03-09-2025,Uttar Pradesh,Kanpur Nagar,208021,6,65
03-09-2025,Uttar Pradesh,Kanpur Nagar,209206,20,92
03-09-2025,Uttar Pradesh,Kanpur Nagar,209210,11,27
03-09-2025,Uttar Pradesh,Kanpur Nagar,209305,0,5
03-09-2025,Uttar Pradesh,Kanpur Nagar,209308,7,14
03-09-2025,Uttar Pradesh,Kanpur Nagar,209310,0,1
05-09-2025,Uttar Pradesh,Kanpur Nagar,208003,0,6
05-09-2025,Uttar Pradesh,Kanpur Nagar,208011,1,19
05-09-2025,Uttar Pradesh,Kanpur Nagar,209202,13,46
05-09-2025,Uttar Pradesh,Kanpur Nagar,209208,3,0
05-09-2025,Uttar Pradesh,Kanpur Nagar,209214,1,12
05-09-2025,Uttar Pradesh,Kanpur Nagar,209307,0,1
05-09-2025,Uttar Pradesh,Kanpur Nagar,209310,0,1
04-09-2025,Uttar Pradesh,Kanpur Nagar,208008,0,1
04-09-2025,Uttar Pradesh,Kanpur Nagar,208011,9,62
04-09-2025,Uttar Pradesh,Kanpur Nagar,208015,2,3
04-09-2025,Uttar Pradesh,Kanpur Nagar,208023,5,18
04-09-2025,Uttar Pradesh,Kanpur Nagar,208025,2,15
04-09-2025,Uttar Pradesh,Kanpur Nagar,209208,1,8
04-09-2025,Uttar Pradesh,Kanpur Nagar,209209,8,15
04-09-2025,Uttar Pradesh,Kanpur Nagar,209401,8,33
07-09-2025,Uttar Pradesh,Kanpur Nagar,208011,1,16
07-09-2025,Uttar Pradesh,Kanpur Nagar,208012,2,6
07-09-2025,Uttar Pradesh,Kanpur Nagar,208013,0,8
07-09-2025,Uttar Pradesh,Kanpur Nagar,208021,2,18
07-09-2025,Uttar Pradesh,Kanpur Nagar,208022,2,9
07-09-2025,Uttar Pradesh,Kanpur Nagar,208023,1,15
07-09-2025,Uttar Pradesh,Kanpur Nagar,208024,0,2
07-09-2025,Uttar Pradesh,Kanpur Nagar,208025,2,6
07-09-2025,Uttar Pradesh,Kanpur Nagar,209201,0,1
06-09-2025,Uttar Pradesh,Kanpur Nagar,208013,4,23
06-09-2025,Uttar Pradesh,Kanpur Nagar,208017,9,32
06-09-2025,Uttar Pradesh,Kanpur Nagar,208023,1,18
06-09-2025,Uttar Pradesh,Kanpur Nagar,209205,4,17
06-09-2025,Uttar Pradesh,Kanpur Nagar,209208,1,9
06-09-2025,Uttar Pradesh,Kanpur Nagar,209210,2,15
06-09-2025,Uttar Pradesh,Kanpur Nagar,209402,15,38
08-09-2025,Uttar Pradesh,Kanpur Nagar,208005,4,12
08-09-2025,Uttar Pradesh,Kanpur Nagar,208012,6,31
08-09-2025,Uttar Pradesh,Kanpur Nagar,209203,5,28
08-09-2025,Uttar Pradesh,Kanpur Nagar,209210,4,34
08-09-2025,Uttar Pradesh,Kanpur Nagar,209217,11,43
08-09-2025,Uttar Pradesh,Kanpur Nagar,209401,14,61
10-09-2025,Uttar Pradesh,Kanpur Nagar,208006,2,28
10-09-2025,Uttar Pradesh,Kanpur Nagar,208007,3,30
