date,state,district,pincode,demo_age_5_17,demo_age_17_
01-09-2025,Delhi,New Delhi,110023,0,2
02-09-2025,Delhi,New Delhi,110021,0,2
04-09-2025,Delhi,New Delhi,110023,0,1
03-09-2025,Delhi,New Delhi,110021,4,9
03-09-2025,Delhi,New Delhi,110023,0,5
05-09-2025,Delhi,New Delhi,110001,0,5
05-09-2025,Delhi,New Delhi,110021,0,1
10-09-2025,Delhi,New Delhi,110021,3,6
12-09-2025,Delhi,New Delhi,110011,0,1
12-09-2025,Delhi,New Delhi,110021,0,6
12-09-2025,Delhi,New Delhi,110023,0,1
14-09-2025,Delhi,New Delhi,110021,0,0
15-09-2025,Delhi,New Delhi,110023,0,2
16-09-2025,Delhi,New Delhi,110021,4,7
16-09-2025,Delhi,New Delhi,110023,1,4
17-09-2025,Delhi,New Delhi,110001,0,6
20-09-2025,Delhi,New Delhi,110001,1,9
20-09-2025,Delhi,New Delhi,110021,0,2
05-12-2025,Delhi,New Delhi,110023,0,2
14-12-2025,Delhi,New Delhi,110011,0,1
26-10-2025,Delhi,New Delhi,110021,0,11
26-10-2025,Delhi,New Delhi,110023,0,3
18-10-2025,Delhi,New Delhi,110001,0,11
19-10-2025,Delhi,New Delhi,110011,0,1
20-10-2025,Delhi,New Delhi,110021,0,3
25-10-2025,Delhi,New Delhi,110001,0,2
27-10-2025,Delhi,New Delhi,110001,0,5
18-12-2025,Delhi,New Delhi,110011,0,0
21-12-2025,Delhi,New Delhi,110011,1,0
31-12-2025,Delhi,New Delhi,110021,2,5
09-12-2025,Delhi,New Delhi,110021,0,11
11-12-2025,Delhi,New Delhi,110021,2,11
12-12-2025,Delhi,New Delhi,110023,0,1
28-12-2025,Delhi,New Delhi,110021,3,11
23-12-2025,Delhi,New Delhi,110021,1,13
15-12-2025,Delhi,New Delhi,110001,0,9
02-01-2026,Delhi,New Delhi,110001,7,10
26-12-2025,Delhi,New Delhi,110011,0,1
27-12-2025,Delhi,New Delhi,110021,0,9
05-12-2025,Delhi,New Delhi,110001,2,7
07-12-2025,Delhi,New Delhi,110011,0,1
06-11-2025,Delhi,New Delhi,110021,1,4
07-11-2025,Delhi,New Delhi,110011,1,2
07-11-2025,Delhi,New Delhi,110023,0,3
12-11-2025,Delhi,New Delhi,110021,2,6
13-11-2025,Delhi,New Delhi,110011,0,2
09-11-2025,Delhi,New Delhi,110001,2,3
17-11-2025,Delhi,New Delhi,110011,0,2
19-11-2025,Delhi,New Delhi,110001,1,6
21-11-2025,Delhi,New Delhi,110021,3,3
20-11-2025,Delhi,New Delhi,110001,0,13
02-11-2025,Delhi,New Delhi,110001,2,9
29-10-2025,Delhi,New Delhi,110023,0,1
31-10-2025,Delhi,New Delhi,110001,4,9
30-10-2025,Delhi,New Delhi,110001,0,8
23-11-2025,Delhi,New Delhi,110023,0,2
24-11-2025,Delhi,New Delhi,110001,1,6
24-11-2025,Delhi,New Delhi,110021,1,5
24-11-2025,Delhi,New Delhi,110023,2,0
26-11-2025,Delhi,New Delhi,110021,0,10
