date,state,district,pincode,demo_age_5_17,demo_age_17_
01-03-2025,Bihar,Patna,800009,110,804
01-03-2025,Bihar,Patna,803214,64,638
01-03-2025,Bihar,Patna,801505,157,1336
01-03-2025,Bihar,Patna,800018,26,139
01-03-2025,Bihar,Patna,803206,11,83
01-03-2025,Bihar,Patna,803202,193,1437
01-03-2025,Bihar,Patna,804453,246,2314
01-03-2025,Bihar,Patna,801502,25,229
01-03-2025,Bihar,Patna,800010,12,148
01-03-2025,Bihar,Patna,803212,176,1229
01-03-2025,Bihar,Patna,801304,20,231
01-09-2025,Bihar,Patna,800001,18,92
01-09-2025,Bihar,Patna,800009,6,62
01-09-2025,Bihar,Patna,800013,0,13
01-09-2025,Bihar,Patna,800023,1,11
01-09-2025,Bihar,Patna,800025,1,6
01-09-2025,Bihar,Patna,800030,1,0
01-09-2025,Bihar,Patna,800111,2,23
01-09-2025,Bihar,Patna,801507,0,7
01-09-2025,Bihar,Patna,803212,6,128
01-09-2025,Bihar,Patna,803306,1,24
02-09-2025,Bihar,Patna,800013,0,14
02-09-2025,Bihar,Patna,800023,2,9
02-09-2025,Bihar,Patna,800026,3,21
02-09-2025,Bihar,Patna,801108,6,85
02-09-2025,Bihar,Patna,801113,3,21
02-09-2025,Bihar,Patna,801502,3,23
02-09-2025,Bihar,Patna,801506,1,10
02-09-2025,Bihar,Patna,801507,2,7
02-09-2025,Bihar,Patna,803110,3,113
02-09-2025,Bihar,Patna,803212,9,103
02-09-2025,Bihar,Patna,804451,9,77
02-09-2025,Bihar,Patna,811104,0,41
04-09-2025,Bihar,Patna,800001,17,67
04-09-2025,Bihar,Patna,800010,0,8
04-09-2025,Bihar,Patna,800013,1,10
04-09-2025,Bihar,Patna,800023,1,12
04-09-2025,Bihar,Patna,801109,10,38
04-09-2025,Bihar,Patna,801117,0,2
04-09-2025,Bihar,Patna,801118,0,7
04-09-2025,Bihar,Patna,803202,12,242
04-09-2025,Bihar,Patna,803213,6,234
04-09-2025,Bihar,Patna,803221,1,19
04-09-2025,Bihar,Patna,811104,3,21
03-09-2025,Bihar,Patna,800007,7,55
03-09-2025,Bihar,Patna,800012,2,21
03-09-2025,Bihar,Patna,800020,13,38
03-09-2025,Bihar,Patna,800026,0,16
03-09-2025,Bihar,Patna,800027,2,9
03-09-2025,Bihar,Patna,801108,6,55
03-09-2025,Bihar,Patna,801112,7,16
03-09-2025,Bihar,Patna,801118,0,2
03-09-2025,Bihar,Patna,803202,8,197
03-09-2025,Bihar,Patna,803211,3,82
05-09-2025,Bihar,Patna,800004,0,6
05-09-2025,Bihar,Patna,800008,5,64
05-09-2025,Bihar,Patna,800010,3,7
05-09-2025,Bihar,Patna,800013,0,6
05-09-2025,Bihar,Patna,801103,2,46
05-09-2025,Bihar,Patna,801108,0,88
05-09-2025,Bihar,Patna,801502,1,28
05-09-2025,Bihar,Patna,801505,11,54
05-09-2025,Bihar,Patna,801506,0,5
