date,state,district,pincode,age_0_5,age_5_17,age_18_greater
01-09-2025,Delhi,New Delhi,110001,2,0,0
01-07-2025,Delhi,New Delhi,110061,52,52,46
02-09-2025,Delhi,New Delhi,110023,1,0,0
10-09-2025,Delhi,New Delhi,110001,2,1,0
12-09-2025,Delhi,New Delhi,110001,1,0,0
13-09-2025,Delhi,New Delhi,110021,1,0,0
16-09-2025,Delhi,New Delhi,110001,2,0,0
18-09-2025,Delhi,New Delhi,110021,1,0,0
25-09-2025,Delhi,New Delhi,110021,2,0,0
15-10-2025,Delhi,New Delhi,110001,0,1,0
29-10-2025,Delhi,New Delhi,110001,1,0,0
02-11-2025,Delhi,New Delhi,110021,1,0,0
11-11-2025,Delhi,New Delhi,110001,2,0,0
11-11-2025,Delhi,New Delhi,110021,1,0,0
15-11-2025,Delhi,New Delhi,110021,3,0,1
16-11-2025,Delhi,New Delhi,110001,1,1,1
05-11-2025,Delhi,New Delhi,110001,2,1,0
07-11-2025,Delhi,New Delhi,110001,2,0,0
08-11-2025,Delhi,New Delhi,110001,2,0,0
10-11-2025,Delhi,New Delhi,110021,1,0,0
13-11-2025,Delhi,New Delhi,110001,1,0,0
22-12-2025,Delhi,New Delhi,110021,2,0,0
24-12-2025,Delhi,New Delhi,110023,1,0,0
25-12-2025,Delhi,New Delhi,110001,1,1,0
02-01-2026,Delhi,New Delhi,110021,1,0,0
09-06-2025,Delhi,New Delhi,110021,1,1,0
14-06-2025,Delhi,New Delhi,110011,0,1,0
12-06-2025,Delhi,New Delhi,110001,0,1,0
13-06-2025,Delhi,New Delhi,110023,0,1,0
15-06-2025,Delhi,New Delhi,110001,1,0,0
01-09-2025,Delhi,New Delhi,110021,0,1,0
01-06-2025,Delhi,New Delhi,110037,101,44,16
01-07-2025,Delhi,New Delhi,110057,58,23,19
01-07-2025,Delhi,New Delhi,110021,61,33,34
02-09-2025,Delhi,New Delhi,110001,1,1,0
06-09-2025,Delhi,New Delhi,110021,0,1,0
04-09-2025,Delhi,New Delhi,110021,1,0,0
11-09-2025,Delhi,New Delhi,110001,0,0,1
