date,state,district,pincode,age_0_5,age_5_17,age_18_greater
01-05-2025,Uttar Pradesh,Bareilly,243001,556,328,34
01-06-2025,Uttar Pradesh,Bareilly,243001,298,369,21
01-07-2025,Uttar Pradesh,Bareilly,243001,499,441,20
03-09-2025,Uttar Pradesh,Bareilly,243005,10,5,0
03-09-2025,Uttar Pradesh,Bareilly,243123,7,2,0
03-09-2025,Uttar Pradesh,Bareilly,243201,11,11,0
03-09-2025,Uttar Pradesh,Bareilly,243301,6,8,0
03-09-2025,Uttar Pradesh,Bareilly,243407,2,0,0
03-09-2025,Uttar Pradesh,Bareilly,243504,3,3,0
02-09-2025,Uttar Pradesh,Bareilly,243006,3,3,0
02-09-2025,Uttar Pradesh,Bareilly,243123,6,6,0
02-09-2025,Uttar Pradesh,Bareilly,243201,12,8,0
02-09-2025,Uttar Pradesh,Bareilly,243203,2,1,0
02-09-2025,Uttar Pradesh,Bareilly,243302,5,4,0
02-09-2025,Uttar Pradesh,Bareilly,243303,13,9,0
02-09-2025,Uttar Pradesh,Bareilly,243401,3,4,0
02-09-2025,Uttar Pradesh,Bareilly,243502,8,4,0
01-09-2025,Uttar Pradesh,Bareilly,243001,10,11,0
01-09-2025,Uttar Pradesh,Bareilly,243122,4,7,1
06-09-2025,Uttar Pradesh,Bareilly,243006,1,2,0
06-09-2025,Uttar Pradesh,Bareilly,243201,13,14,0
06-09-2025,Uttar Pradesh,Bareilly,243203,2,2,0
06-09-2025,Uttar Pradesh,Bareilly,243301,7,3,0
06-09-2025,Uttar Pradesh,Bareilly,243303,3,0,0
06-09-2025,Uttar Pradesh,Bareilly,262406,9,9,0
05-09-2025,Uttar Pradesh,Bareilly,243201,1,0,0
05-09-2025,Uttar Pradesh,Bareilly,243506,4,0,0
04-09-2025,Uttar Pradesh,Bareilly,243003,2,3,1
04-09-2025,Uttar Pradesh,Bareilly,243006,2,1,0
04-09-2025,Uttar Pradesh,Bareilly,243402,0,2,0
04-09-2025,Uttar Pradesh,Bareilly,243501,2,4,0
04-09-2025,Uttar Pradesh,Bareilly,243505,2,12,0
04-09-2025,Uttar Pradesh,Bareilly,243506,3,1,1
07-09-2025,Uttar Pradesh,Bareilly,243122,1,0,0
07-09-2025,Uttar Pradesh,Bareilly,243201,4,3,0
07-09-2025,Uttar Pradesh,Bareilly,243203,1,0,0
07-09-2025,Uttar Pradesh,Bareilly,262406,5,3,0
09-09-2025,Uttar Pradesh,Bareilly,243203,2,1,0
09-09-2025,Uttar Pradesh,Bareilly,243501,4,4,0
09-09-2025,Uttar Pradesh,Bareilly,243503,15,8,1
08-09-2025,Uttar Pradesh,Bareilly,243003,4,5,0
08-09-2025,Uttar Pradesh,Bareilly,243203,4,4,0
08-09-2025,Uttar Pradesh,Bareilly,243302,5,7,0
08-09-2025,Uttar Pradesh,Bareilly,243401,1,3,0
08-09-2025,Uttar Pradesh,Bareilly,243504,12,5,0
08-09-2025,Uttar Pradesh,Bareilly,262406,14,4,1
10-09-2025,Uttar Pradesh,Bareilly,243005,4,8,0
10-09-2025,Uttar Pradesh,Bareilly,243302,4,6,1
10-09-2025,Uttar Pradesh,Bareilly,243402,2,0,0
10-09-2025,Uttar Pradesh,Bareilly,243505,16,3,0
10-09-2025,Uttar Pradesh,Bareilly,262406,15,6,0
11-09-2025,Uttar Pradesh,Bareilly,243003,5,9,0
11-09-2025,Uttar Pradesh,Bareilly,243122,15,8,0
11-09-2025,Uttar Pradesh,Bareilly,243123,6,2,0
11-09-2025,Uttar Pradesh,Bareilly,243501,8,1,0
11-09-2025,Uttar Pradesh,Bareilly,243506,0,3,0
11-09-2025,Uttar Pradesh,Bareilly,262406,12,7,0
11-09-2025,Uttar Pradesh,Bareilly,262407,8,4,1
13-09-2025,Uttar Pradesh,Bareilly,243005,3,4,0
13-09-2025,Uttar Pradesh,Bareilly,243202,4,4,0
13-09-2025,Uttar Pradesh,Bareilly,243401,3,2,0
13-09-2025,Uttar Pradesh,Bareilly,243504,7,5,0
13-09-2025,Uttar Pradesh,Bareilly,243506,0,3,0
13-09-2025,Uttar Pradesh,Bareilly,262407,0,2,0
12-09-2025,Uttar Pradesh,Bareilly,243005,7,8,0
12-09-2025,Uttar Pradesh,Bareilly,243203,7,1,0
15-09-2025,Uttar Pradesh,Bareilly,243123,4,1,0
15-09-2025,Uttar Pradesh,Bareilly,243303,4,8,0
15-09-2025,Uttar Pradesh,Bareilly,243402,1,0,0
15-09-2025,Uttar Pradesh,Bareilly,243502,8,4,0
17-09-2025,Uttar Pradesh,Bareilly,243006,3,3,0
17-09-2025,Uttar Pradesh,Bareilly,243301,7,6,0
17-09-2025,Uttar Pradesh,Bareilly,243501,4,3,0
16-09-2025,Uttar Pradesh,Bareilly,243203,9,5,0
16-09-2025,Uttar Pradesh,Bareilly,243403,0,1,0
16-09-2025,Uttar Pradesh,Bareilly,243502,6,3,0
19-09-2025,Uttar Pradesh,Bareilly,243201,10,5,0
19-09-2025,Uttar Pradesh,Bareilly,243401,0,1,0
19-09-2025,Uttar Pradesh,Bareilly,243504,5,5,0
19-09-2025,Uttar Pradesh,Bareilly,262407,1,1,0
18-09-2025,Uttar Pradesh,Bareilly,243003,7,5,0
18-09-2025,Uttar Pradesh,Bareilly,243005,2,7,0
18-09-2025,Uttar Pradesh,Bareilly,243006,3,2,0
18-09-2025,Uttar Pradesh,Bareilly,243202,5,1,0
18-09-2025,Uttar Pradesh,Bareilly,243503,14,12,0
18-09-2025,Uttar Pradesh,Bareilly,262406,3,1,1
20-09-2025,Uttar Pradesh,Bareilly,243202,4,3,0
20-09-2025,Uttar Pradesh,Bareilly,243301,4,6,0
20-09-2025,Uttar Pradesh,Bareilly,243504,4,6,0
20-09-2025,Uttar Pradesh,Bareilly,243505,11,6,1
22-09-2025,Uttar Pradesh,Bareilly,243005,6,7,0
22-09-2025,Uttar Pradesh,Bareilly,243123,2,5,0
22-09-2025,Uttar Pradesh,Bareilly,243301,2,2,0
22-09-2025,Uttar Pradesh,Bareilly,243303,4,3,0
22-09-2025,Uttar Pradesh,Bareilly,243402,1,2,0
22-09-2025,Uttar Pradesh,Bareilly,243501,2,0,0
22-09-2025,Uttar Pradesh,Bareilly,262406,2,0,0
21-09-2025,Uttar Pradesh,Bareilly,243505,0,3,0
25-09-2025,Uttar Pradesh,Bareilly,243001,13,5,0
25-09-2025,Uttar Pradesh,Bareilly,243201,11,13,0
25-09-2025,Uttar Pradesh,Bareilly,262406,3,2,0
24-09-2025,Uttar Pradesh,Bareilly,243301,1,2,0
24-09-2025,Uttar Pradesh,Bareilly,243302,1,3,0
24-09-2025,Uttar Pradesh,Bareilly,243403,1,0,0
24-09-2025,Uttar Pradesh,Bareilly,243502,4,2,0
24-09-2025,Uttar Pradesh,Bareilly,243504,3,0,0
24-09-2025,Uttar Pradesh,Bareilly,243506,1,2,1
24-09-2025,Uttar Pradesh,Bareilly,262406,3,4,0
23-09-2025,Uttar Pradesh,Bareilly,243202,2,3,0
23-09-2025,Uttar Pradesh,Bareilly,243301,1,1,0
23-09-2025,Uttar Pradesh,Bareilly,243303,10,5,0
23-09-2025,Uttar Pradesh,Bareilly,243407,1,0,0
27-09-2025,Uttar Pradesh,Bareilly,243202,1,0,0
27-09-2025,Uttar Pradesh,Bareilly,243301,0,2,0
27-09-2025,Uttar Pradesh,Bareilly,262406,3,0,0
29-09-2025,Uttar Pradesh,Bareilly,243122,0,0,1
26-09-2025,Uttar Pradesh,Bareilly,243003,5,0,0
26-09-2025,Uttar Pradesh,Bareilly,243006,1,1,0
26-09-2025,Uttar Pradesh,Bareilly,243123,8,3,0
26-09-2025,Uttar Pradesh,Bareilly,243301,4,2,0
26-09-2025,Uttar Pradesh,Bareilly,243302,3,2,0
26-09-2025,Uttar Pradesh,Bareilly,243402,3,0,0
26-09-2025,Uttar Pradesh,Bareilly,243505,1,4,0
26-09-2025,Uttar Pradesh,Bareilly,243506,0,2,0
26-10-2025,Uttar Pradesh,Bareilly,243122,4,2,0
26-10-2025,Uttar Pradesh,Bareilly,243203,2,1,0
26-10-2025,Uttar Pradesh,Bareilly,243504,1,2,0
13-10-2025,Uttar Pradesh,Bareilly,243122,5,2,0
13-10-2025,Uttar Pradesh,Bareilly,243407,1,0,0
13-10-2025,Uttar Pradesh,Bareilly,243501,4,1,0
16-10-2025,Uttar Pradesh,Bareilly,243005,5,5,15
16-10-2025,Uttar Pradesh,Bareilly,243302,5,2,0
16-10-2025,Uttar Pradesh,Bareilly,243505,6,4,0
15-10-2025,Uttar Pradesh,Bareilly,262406,8,4,0
15-10-2025,Uttar Pradesh,Bareilly,262407,2,1,0
17-10-2025,Uttar Pradesh,Bareilly,243001,32,14,1
17-10-2025,Uttar Pradesh,Bareilly,243401,1,1,0
17-10-2025,Uttar Pradesh,Bareilly,243407,2,0,0
17-10-2025,Uttar Pradesh,Bareilly,243504,6,10,0
17-10-2025,Uttar Pradesh,Bareilly,243505,26,6,0
17-10-2025,Uttar Pradesh,Bareilly,243506,3,1,0
17-10-2025,Uttar Pradesh,Bareilly,262407,6,8,0
18-10-2025,Uttar Pradesh,Bareilly,243001,9,13,2
18-10-2025,Uttar Pradesh,Bareilly,243003,6,0,0
18-10-2025,Uttar Pradesh,Bareilly,243302,2,1,0
18-10-2025,Uttar Pradesh,Bareilly,243401,0,2,0
18-10-2025,Uttar Pradesh,Bareilly,243402,1,2,0
19-10-2025,Uttar Pradesh,Bareilly,243006,3,1,1
19-10-2025,Uttar Pradesh,Bareilly,243122,6,10,1
19-10-2025,Uttar Pradesh,Bareilly,243302,4,1,0
19-10-2025,Uttar Pradesh,Bareilly,243502,3,2,0
19-10-2025,Uttar Pradesh,Bareilly,243505,10,5,0
19-10-2025,Uttar Pradesh,Bareilly,262406,14,2,1
24-10-2025,Uttar Pradesh,Bareilly,243003,3,1,0
24-10-2025,Uttar Pradesh,Bareilly,243005,6,3,1
24-10-2025,Uttar Pradesh,Bareilly,243122,6,2,1
24-10-2025,Uttar Pradesh,Bareilly,243202,3,2,0
24-10-2025,Uttar Pradesh,Bareilly,243303,1,2,0
24-10-2025,Uttar Pradesh,Bareilly,262406,4,1,0
20-10-2025,Uttar Pradesh,Bareilly,243122,1,1,0
20-10-2025,Uttar Pradesh,Bareilly,243202,0,1,0
20-10-2025,Uttar Pradesh,Bareilly,262407,1,0,0
25-10-2025,Uttar Pradesh,Bareilly,243001,9,6,0
25-10-2025,Uttar Pradesh,Bareilly,243501,0,2,0
27-10-2025,Uttar Pradesh,Bareilly,243123,1,0,0
27-10-2025,Uttar Pradesh,Bareilly,243402,1,0,0
27-10-2025,Uttar Pradesh,Bareilly,243506,3,1,2
29-10-2025,Uttar Pradesh,Bareilly,243202,3,2,0
29-10-2025,Uttar Pradesh,Bareilly,243303,1,0,0
29-10-2025,Uttar Pradesh,Bareilly,243501,3,0,0
29-10-2025,Uttar Pradesh,Bareilly,243505,9,4,0
28-10-2025,Uttar Pradesh,Bareilly,243005,3,2,0
28-10-2025,Uttar Pradesh,Bareilly,243006,2,3,0
28-10-2025,Uttar Pradesh,Bareilly,243123,7,0,0
28-10-2025,Uttar Pradesh,Bareilly,243202,4,5,0
28-10-2025,Uttar Pradesh,Bareilly,243301,5,5,1
28-10-2025,Uttar Pradesh,Bareilly,243303,2,0,0
28-10-2025,Uttar Pradesh,Bareilly,243401,1,2,0
28-10-2025,Uttar Pradesh,Bareilly,243504,1,2,0
05-11-2025,Uttar Pradesh,Bareilly,243005,5,2,0
05-11-2025,Uttar Pradesh,Bareilly,243202,7,5,0
06-11-2025,Uttar Pradesh,Bareilly,243003,2,3,0
06-11-2025,Uttar Pradesh,Bareilly,243303,2,4,0
06-11-2025,Uttar Pradesh,Bareilly,243501,0,1,0
06-11-2025,Uttar Pradesh,Bareilly,243504,4,1,0
07-11-2025,Uttar Pradesh,Bareilly,243303,5,5,0
07-11-2025,Uttar Pradesh,Bareilly,243501,3,1,0
10-11-2025,Uttar Pradesh,Bareilly,243003,7,2,0
10-11-2025,Uttar Pradesh,Bareilly,243303,2,2,0
10-11-2025,Uttar Pradesh,Bareilly,243506,4,1,0
08-11-2025,Uttar Pradesh,Bareilly,243122,9,3,0
08-11-2025,Uttar Pradesh,Bareilly,262406,8,3,1
09-11-2025,Uttar Pradesh,Bareilly,243001,9,4,1
13-11-2025,Uttar Pradesh,Bareilly,243201,12,2,2
13-11-2025,Uttar Pradesh,Bareilly,243203,6,1,0
13-11-2025,Uttar Pradesh,Bareilly,243302,0,7,0
13-11-2025,Uttar Pradesh,Bareilly,243407,1,0,0
13-11-2025,Uttar Pradesh,Bareilly,243505,7,7,0
13-11-2025,Uttar Pradesh,Bareilly,262407,1,4,0
12-11-2025,Uttar Pradesh,Bareilly,243006,1,6,0
12-11-2025,Uttar Pradesh,Bareilly,243201,3,12,0
12-11-2025,Uttar Pradesh,Bareilly,243303,4,4,0
12-11-2025,Uttar Pradesh,Bareilly,262406,9,2,0
12-11-2025,Uttar Pradesh,Bareilly,262407,4,2,0
14-11-2025,Uttar Pradesh,Bareilly,243002,1,0,0
14-11-2025,Uttar Pradesh,Bareilly,243123,8,5,0
14-11-2025,Uttar Pradesh,Bareilly,243301,3,2,1
14-11-2025,Uttar Pradesh,Bareilly,243303,6,3,0
14-11-2025,Uttar Pradesh,Bareilly,243501,5,1,0
14-11-2025,Uttar Pradesh,Bareilly,243504,4,1,0
14-11-2025,Uttar Pradesh,Bareilly,243505,16,7,1
30-10-2025,Uttar Pradesh,Bareilly,243003,11,7,0
30-10-2025,Uttar Pradesh,Bareilly,243123,19,8,3
30-10-2025,Uttar Pradesh,Bareilly,243202,13,6,0
30-10-2025,Uttar Pradesh,Bareilly,243303,4,11,0
30-10-2025,Uttar Pradesh,Bareilly,243504,8,2,0
30-10-2025,Uttar Pradesh,Bareilly,262406,15,6,0
31-10-2025,Uttar Pradesh,Bareilly,243004,1,0,0
31-10-2025,Uttar Pradesh,Bareilly,243202,4,2,1
31-10-2025,Uttar Pradesh,Bareilly,243203,15,2,0
31-10-2025,Uttar Pradesh,Bareilly,243302,4,7,1
31-10-2025,Uttar Pradesh,Bareilly,243505,27,4,0
31-10-2025,Uttar Pradesh,Bareilly,243506,0,1,2
01-11-2025,Uttar Pradesh,Bareilly,243302,0,1,0
01-11-2025,Uttar Pradesh,Bareilly,243502,2,3,0
01-11-2025,Uttar Pradesh,Bareilly,243504,4,0,0
02-11-2025,Uttar Pradesh,Bareilly,243122,17,16,0
02-11-2025,Uttar Pradesh,Bareilly,243203,12,3,0
02-11-2025,Uttar Pradesh,Bareilly,243301,19,19,0
02-11-2025,Uttar Pradesh,Bareilly,243303,10,8,1
02-11-2025,Uttar Pradesh,Bareilly,243401,2,9,0
02-11-2025,Uttar Pradesh,Bareilly,243502,7,6,0
03-11-2025,Uttar Pradesh,Bareilly,243006,2,0,0
03-11-2025,Uttar Pradesh,Bareilly,243122,2,2,1
03-11-2025,Uttar Pradesh,Bareilly,243501,0,1,0
03-11-2025,Uttar Pradesh,Bareilly,262406,2,1,0
11-11-2025,Uttar Pradesh,Bareilly,243506,2,1,0
15-11-2025,Uttar Pradesh,Bareilly,243003,12,14,0
15-11-2025,Uttar Pradesh,Bareilly,243005,13,9,1
15-11-2025,Uttar Pradesh,Bareilly,243006,5,3,0
15-11-2025,Uttar Pradesh,Bareilly,243122,23,15,2
15-11-2025,Uttar Pradesh,Bareilly,243202,18,3,0
15-11-2025,Uttar Pradesh,Bareilly,243203,14,2,0
15-11-2025,Uttar Pradesh,Bareilly,243403,3,1,0
15-11-2025,Uttar Pradesh,Bareilly,243407,1,0,0
15-11-2025,Uttar Pradesh,Bareilly,243501,5,8,0
15-11-2025,Uttar Pradesh,Bareilly,262406,16,6,1
18-11-2025,Uttar Pradesh,Bareilly,243005,8,3,0
18-11-2025,Uttar Pradesh,Bareilly,243006,6,4,0
18-11-2025,Uttar Pradesh,Bareilly,243201,10,16,1
18-11-2025,Uttar Pradesh,Bareilly,243203,5,2,0
18-11-2025,Uttar Pradesh,Bareilly,243403,1,0,1
18-11-2025,Uttar Pradesh,Bareilly,243502,9,5,1
18-11-2025,Uttar Pradesh,Bareilly,262406,8,3,0
16-11-2025,Uttar Pradesh,Bareilly,243202,9,5,0
16-11-2025,Uttar Pradesh,Bareilly,243203,2,1,0
16-11-2025,Uttar Pradesh,Bareilly,243504,3,1,0
16-11-2025,Uttar Pradesh,Bareilly,262407,6,2,0
17-11-2025,Uttar Pradesh,Bareilly,243006,3,2,0
17-11-2025,Uttar Pradesh,Bareilly,243123,4,5,0
17-11-2025,Uttar Pradesh,Bareilly,243202,4,0,0
17-11-2025,Uttar Pradesh,Bareilly,243502,4,2,0
17-11-2025,Uttar Pradesh,Bareilly,262407,1,0,0
19-11-2025,Uttar Pradesh,Bareilly,243006,11,7,5
19-11-2025,Uttar Pradesh,Bareilly,243203,16,2,0
19-11-2025,Uttar Pradesh,Bareilly,243501,16,1,0
19-11-2025,Uttar Pradesh,Bareilly,243504,20,4,2
19-11-2025,Uttar Pradesh,Bareilly,243505,82,13,0
19-11-2025,Uttar Pradesh,Bareilly,262406,44,10,2
15-12-2025,Uttar Pradesh,Bareilly,243202,14,11,0
15-12-2025,Uttar Pradesh,Bareilly,243203,4,4,0
15-12-2025,Uttar Pradesh,Bareilly,243301,6,8,0
15-12-2025,Uttar Pradesh,Bareilly,243302,9,0,0
15-12-2025,Uttar Pradesh,Bareilly,243303,6,7,0
15-12-2025,Uttar Pradesh,Bareilly,243502,15,6,0
25-11-2025,Uttar Pradesh,Bareilly,243401,2,0,0
25-11-2025,Uttar Pradesh,Bareilly,262407,0,2,0
22-12-2025,Uttar Pradesh,Bareilly,243501,1,0,0
22-12-2025,Uttar Pradesh,Bareilly,262407,10,0,0
21-12-2025,Uttar Pradesh,Bareilly,243006,2,0,0
21-12-2025,Uttar Pradesh,Bareilly,243202,4,0,0
21-12-2025,Uttar Pradesh,Bareilly,243303,2,0,0
21-12-2025,Uttar Pradesh,Bareilly,243401,3,0,0
21-12-2025,Uttar Pradesh,Bareilly,243503,4,0,0
24-12-2025,Uttar Pradesh,Bareilly,243006,3,2,0
24-12-2025,Uttar Pradesh,Bareilly,243123,1,3,0
24-12-2025,Uttar Pradesh,Bareilly,243201,11,7,0
24-12-2025,Uttar Pradesh,Bareilly,243202,6,3,0
24-12-2025,Uttar Pradesh,Bareilly,243203,0,5,0
24-12-2025,Uttar Pradesh,Bareilly,243401,4,2,0
24-12-2025,Uttar Pradesh,Bareilly,243402,1,0,0
24-12-2025,Uttar Pradesh,Bareilly,243503,6,0,0
24-12-2025,Uttar Pradesh,Bareilly,262406,2,0,0
23-12-2025,Uttar Pradesh,Bareilly,243123,6,0,0
23-12-2025,Uttar Pradesh,Bareilly,243302,1,0,0
23-12-2025,Uttar Pradesh,Bareilly,243402,8,0,0
25-12-2025,Uttar Pradesh,Bareilly,243122,2,9,0
25-12-2025,Uttar Pradesh,Bareilly,243201,6,5,0
25-12-2025,Uttar Pradesh,Bareilly,243504,1,1,0
25-12-2025,Uttar Pradesh,Bareilly,243506,1,4,0
25-12-2025,Uttar Pradesh,Bareilly,262407,2,4,0
26-12-2025,Uttar Pradesh,Bareilly,243504,3,0,0
26-12-2025,Uttar Pradesh,Bareilly,262406,16,2,0
28-12-2025,Uttar Pradesh,Bareilly,243122,4,3,0
28-12-2025,Uttar Pradesh,Bareilly,243401,2,3,0
28-12-2025,Uttar Pradesh,Bareilly,243505,22,6,0
28-12-2025,Uttar Pradesh,Bareilly,262406,19,4,0
27-12-2025,Uttar Pradesh,Bareilly,243503,11,2,1
27-12-2025,Uttar Pradesh,Bareilly,243504,3,0,0
27-12-2025,Uttar Pradesh,Bareilly,262407,1,0,0
29-12-2025,Uttar Pradesh,Bareilly,243003,1,1,0
29-12-2025,Uttar Pradesh,Bareilly,243006,1,0,0
29-12-2025,Uttar Pradesh,Bareilly,243123,5,4,0
29-12-2025,Uttar Pradesh,Bareilly,243202,5,1,0
29-12-2025,Uttar Pradesh,Bareilly,243203,4,0,0
29-12-2025,Uttar Pradesh,Bareilly,243503,13,2,0
29-12-2025,Uttar Pradesh,Bareilly,243505,16,4,0
31-12-2025,Uttar Pradesh,Bareilly,243303,12,14,0
01-01-2026,Uttar Pradesh,Bareilly,243003,6,6,0
01-01-2026,Uttar Pradesh,Bareilly,243401,12,5,1
01-01-2026,Uttar Pradesh,Bareilly,243403,1,0,0
01-01-2026,Uttar Pradesh,Bareilly,243501,7,0,0
02-01-2026,Uttar Pradesh,Bareilly,243301,9,4,1
02-01-2026,Uttar Pradesh,Bareilly,243401,11,4,0
02-01-2026,Uttar Pradesh,Bareilly,243403,2,1,0
02-01-2026,Uttar Pradesh,Bareilly,243502,3,5,1
02-01-2026,Uttar Pradesh,Bareilly,262407,2,2,0
03-01-2026,Uttar Pradesh,Bareilly,243006,0,3,0
03-01-2026,Uttar Pradesh,Bareilly,243401,1,1,0
09-06-2025,Uttar Pradesh,Bareilly,262406,10,6,1
10-06-2025,Uttar Pradesh,Bareilly,243003,5,5,0
10-06-2025,Uttar Pradesh,Bareilly,243202,2,3,0
10-06-2025,Uttar Pradesh,Bareilly,243302,2,5,0
10-06-2025,Uttar Pradesh,Bareilly,243401,2,1,1
10-06-2025,Uttar Pradesh,Bareilly,243502,1,3,0
11-06-2025,Uttar Pradesh,Bareilly,243001,8,11,0
11-06-2025,Uttar Pradesh,Bareilly,243006,1,6,0
11-06-2025,Uttar Pradesh,Bareilly,243203,2,0,0
11-06-2025,Uttar Pradesh,Bareilly,243505,9,4,1
11-06-2025,Uttar Pradesh,Bareilly,243506,0,2,1
11-06-2025,Uttar Pradesh,Bareilly,262407,6,2,0
13-06-2025,Uttar Pradesh,Bareilly,243003,2,4,0
13-06-2025,Uttar Pradesh,Bareilly,243005,4,5,1
13-06-2025,Uttar Pradesh,Bareilly,243302,0,2,1
13-06-2025,Uttar Pradesh,Bareilly,243503,4,11,0
13-06-2025,Uttar Pradesh,Bareilly,243505,10,8,0
13-06-2025,Uttar Pradesh,Bareilly,262406,5,6,0
12-06-2025,Uttar Pradesh,Bareilly,243301,3,5,0
12-06-2025,Uttar Pradesh,Bareilly,243303,5,6,1
12-06-2025,Uttar Pradesh,Bareilly,243506,3,3,0
12-06-2025,Uttar Pradesh,Bareilly,262406,8,3,0
