date,state,district,pincode,age_0_5,age_5_17,age_18_greater
01-06-2025,Uttar Pradesh,Gorakhpur,273015,82,223,10
03-09-2025,Uttar Pradesh,Gorakhpur,273004,0,4,0
03-09-2025,Uttar Pradesh,Gorakhpur,273006,2,0,0
03-09-2025,Uttar Pradesh,Gorakhpur,273007,4,10,0
03-09-2025,Uttar Pradesh,Gorakhpur,273014,2,3,1
03-09-2025,Uttar Pradesh,Gorakhpur,273201,3,2,0
03-09-2025,Uttar Pradesh,Gorakhpur,273203,1,0,0
03-09-2025,Uttar Pradesh,Gorakhpur,273407,3,6,0
02-09-2025,Uttar Pradesh,Gorakhpur,273004,0,3,0
02-09-2025,Uttar Pradesh,Gorakhpur,273010,1,0,0
02-09-2025,Uttar Pradesh,Gorakhpur,273158,10,20,1
02-09-2025,Uttar Pradesh,Gorakhpur,273209,6,15,1
02-09-2025,Uttar Pradesh,Gorakhpur,273213,0,2,0
02-09-2025,Uttar Pradesh,Gorakhpur,273306,2,3,0
02-09-2025,Uttar Pradesh,Gorakhpur,273402,6,13,0
02-09-2025,Uttar Pradesh,Gorakhpur,273403,1,5,0
02-09-2025,Uttar Pradesh,Gorakhpur,273406,2,2,0
02-09-2025,Uttar Pradesh,Gorakhpur,273408,6,4,0
01-09-2025,Uttar Pradesh,Gorakhpur,273004,2,5,0
01-09-2025,Uttar Pradesh,Gorakhpur,273007,3,5,0
01-09-2025,Uttar Pradesh,Gorakhpur,273161,0,2,0
01-09-2025,Uttar Pradesh,Gorakhpur,273165,8,6,0
01-09-2025,Uttar Pradesh,Gorakhpur,273201,1,2,0
01-09-2025,Uttar Pradesh,Gorakhpur,273213,0,3,0
01-09-2025,Uttar Pradesh,Gorakhpur,273408,5,2,0
06-09-2025,Uttar Pradesh,Gorakhpur,273012,1,4,0
06-09-2025,Uttar Pradesh,Gorakhpur,273158,2,13,0
06-09-2025,Uttar Pradesh,Gorakhpur,273212,7,12,0
06-09-2025,Uttar Pradesh,Gorakhpur,273306,2,4,0
