date,state,district,pincode,age_0_5,age_5_17,age_18_greater
03-09-2025,Rajasthan,Jaipur,302001,2,0,0
03-09-2025,Rajasthan,Jaipur,302005,1,0,0
03-09-2025,Rajasthan,Jaipur,302006,1,1,0
03-09-2025,Rajasthan,Jaipur,302033,2,1,0
03-09-2025,Rajasthan,Jaipur,302039,4,2,0
03-09-2025,Rajasthan,Jaipur,303108,4,4,0
03-09-2025,Rajasthan,Jaipur,303305,2,0,0
03-09-2025,Rajasthan,Jaipur,303603,17,0,0
03-09-2025,Rajasthan,Jaipur,303701,1,0,0
03-09-2025,Rajasthan,Jaipur,303805,3,2,0
03-09-2025,Rajasthan,Jaipur,303903,1,0,0
02-09-2025,Rajasthan,Jaipur,302002,7,1,0
02-09-2025,Rajasthan,Jaipur,302004,5,3,1
02-09-2025,Rajasthan,Jaipur,302013,4,1,0
02-09-2025,Rajasthan,Jaipur,302016,7,6,0
02-09-2025,Rajasthan,Jaipur,302020,7,2,0
02-09-2025,Rajasthan,Jaipur,302034,1,1,0
02-09-2025,Rajasthan,Jaipur,302039,7,0,0
02-09-2025,Rajasthan,Jaipur,303008,10,2,0
02-09-2025,Rajasthan,Jaipur,303012,4,0,0
02-09-2025,Rajasthan,Jaipur,303108,6,1,0
02-09-2025,Rajasthan,Jaipur,303301,4,2,0
02-09-2025,Rajasthan,Jaipur,303602,3,0,0
02-09-2025,Rajasthan,Jaipur,303701,2,0,0
02-09-2025,Rajasthan,Jaipur,303802,0,1,0
02-09-2025,Rajasthan,Jaipur,303903,2,0,0
01-09-2025,Rajasthan,Jaipur,302003,8,3,0
01-09-2025,Rajasthan,Jaipur,302012,6,4,0
01-09-2025,Rajasthan,Jaipur,302019,1,0,0
01-09-2025,Rajasthan,Jaipur,302023,0,1,0
01-09-2025,Rajasthan,Jaipur,302026,0,1,0
01-09-2025,Rajasthan,Jaipur,302027,4,4,0
01-09-2025,Rajasthan,Jaipur,302031,7,2,0
01-09-2025,Rajasthan,Jaipur,303002,3,2,0
01-09-2025,Rajasthan,Jaipur,303008,4,1,0
01-09-2025,Rajasthan,Jaipur,303105,1,2,0
01-09-2025,Rajasthan,Jaipur,303106,10,3,0
01-09-2025,Rajasthan,Jaipur,303109,1,1,0
01-09-2025,Rajasthan,Jaipur,303801,3,0,0
01-09-2025,Rajasthan,Jaipur,303802,0,1,0
05-09-2025,Rajasthan,Jaipur,302013,3,0,0
05-09-2025,Rajasthan,Jaipur,302021,3,3,1
05-09-2025,Rajasthan,Jaipur,302031,5,0,0
05-09-2025,Rajasthan,Jaipur,303105,0,1,0
05-09-2025,Rajasthan,Jaipur,303106,1,0,0
05-09-2025,Rajasthan,Jaipur,303107,1,0,0
05-09-2025,Rajasthan,Jaipur,303328,2,0,0
05-09-2025,Rajasthan,Jaipur,303602,13,0,0
05-09-2025,Rajasthan,Jaipur,303706,3,1,0
05-09-2025,Rajasthan,Jaipur,303801,3,1,0
05-09-2025,Rajasthan,Jaipur,303804,10,0,0
04-09-2025,Rajasthan,Jaipur,302012,9,4,0
04-09-2025,Rajasthan,Jaipur,302013,1,6,0
04-09-2025,Rajasthan,Jaipur,302031,1,0,1
04-09-2025,Rajasthan,Jaipur,303009,5,0,0
04-09-2025,Rajasthan,Jaipur,303104,13,0,0
04-09-2025,Rajasthan,Jaipur,303107,2,1,0
04-09-2025,Rajasthan,Jaipur,303108,5,6,0
04-09-2025,Rajasthan,Jaipur,303110,5,1,0
04-09-2025,Rajasthan,Jaipur,303120,0,1,0
04-09-2025,Rajasthan,Jaipur,303302,0,1,0
04-09-2025,Rajasthan,Jaipur,303305,2,0,0
04-09-2025,Rajasthan,Jaipur,303328,1,1,0
04-09-2025,Rajasthan,Jaipur,303338,6,1,0
04-09-2025,Rajasthan,Jaipur,303601,1,1,0
04-09-2025,Rajasthan,Jaipur,303604,2,1,0
04-09-2025,Rajasthan,Jaipur,303803,4,3,0
04-09-2025,Rajasthan,Jaipur,303807,6,1,0
04-09-2025,Rajasthan,Jaipur,303903,3,0,0
06-09-2025,Rajasthan,Jaipur,302002,7,0,0
06-09-2025,Rajasthan,Jaipur,302006,4,0,0
06-09-2025,Rajasthan,Jaipur,302018,1,0,0
06-09-2025,Rajasthan,Jaipur,302021,5,3,0
06-09-2025,Rajasthan,Jaipur,302029,4,4,0
06-09-2025,Rajasthan,Jaipur,302032,1,0,0
06-09-2025,Rajasthan,Jaipur,302033,3,0,0
06-09-2025,Rajasthan,Jaipur,303001,3,1,0
06-09-2025,Rajasthan,Jaipur,303008,3,1,0
06-09-2025,Rajasthan,Jaipur,303104,6,2,0
06-09-2025,Rajasthan,Jaipur,303107,2,1,0
06-09-2025,Rajasthan,Jaipur,303108,6,0,0
06-09-2025,Rajasthan,Jaipur,303119,3,3,0
06-09-2025,Rajasthan,Jaipur,303712,9,2,0
07-09-2025,Rajasthan,Jaipur,302003,7,0,0
07-09-2025,Rajasthan,Jaipur,302006,3,2,0
07-09-2025,Rajasthan,Jaipur,302013,4,0,0
07-09-2025,Rajasthan,Jaipur,302015,1,0,0
07-09-2025,Rajasthan,Jaipur,302021,2,2,0
07-09-2025,Rajasthan,Jaipur,302027,8,3,0
07-09-2025,Rajasthan,Jaipur,303012,0,2,0
07-09-2025,Rajasthan,Jaipur,303120,7,0,0
07-09-2025,Rajasthan,Jaipur,303702,2,0,0
07-09-2025,Rajasthan,Jaipur,303704,3,1,0
07-09-2025,Rajasthan,Jaipur,303712,2,0,0
07-09-2025,Rajasthan,Jaipur,303903,8,0,0
08-09-2025,Rajasthan,Jaipur,302001,3,0,0
08-09-2025,Rajasthan,Jaipur,302019,2,1,0
08-09-2025,Rajasthan,Jaipur,302028,3,0,0
08-09-2025,Rajasthan,Jaipur,303005,16,3,0
08-09-2025,Rajasthan,Jaipur,303009,6,1,0
08-09-2025,Rajasthan,Jaipur,303012,4,2,0
08-09-2025,Rajasthan,Jaipur,303102,1,1,0
08-09-2025,Rajasthan,Jaipur,303105,4,3,0
08-09-2025,Rajasthan,Jaipur,303107,4,0,0
08-09-2025,Rajasthan,Jaipur,303120,2,2,0
08-09-2025,Rajasthan,Jaipur,303305,2,2,0
08-09-2025,Rajasthan,Jaipur,303712,15,1,0
09-09-2025,Rajasthan,Jaipur,302004,7,2,0
09-09-2025,Rajasthan,Jaipur,302011,0,1,0
09-09-2025,Rajasthan,Jaipur,302012,12,5,0
09-09-2025,Rajasthan,Jaipur,302017,7,9,0
09-09-2025,Rajasthan,Jaipur,302021,3,0,0
09-09-2025,Rajasthan,Jaipur,303001,2,0,0
09-09-2025,Rajasthan,Jaipur,303004,1,0,0
09-09-2025,Rajasthan,Jaipur,303007,2,2,0
09-09-2025,Rajasthan,Jaipur,303009,4,0,0
09-09-2025,Rajasthan,Jaipur,303012,7,3,0
09-09-2025,Rajasthan,Jaipur,303105,9,3,0
09-09-2025,Rajasthan,Jaipur,303302,3,0,0
09-09-2025,Rajasthan,Jaipur,303305,5,0,0
09-09-2025,Rajasthan,Jaipur,303601,14,0,0
09-09-2025,Rajasthan,Jaipur,303701,3,1,0
09-09-2025,Rajasthan,Jaipur,303712,11,6,0
09-09-2025,Rajasthan,Jaipur,303802,1,1,0
10-09-2025,Rajasthan,Jaipur,302004,7,1,0
10-09-2025,Rajasthan,Jaipur,302012,14,3,0
10-09-2025,Rajasthan,Jaipur,302017,13,6,2
10-09-2025,Rajasthan,Jaipur,302021,10,1,0
10-09-2025,Rajasthan,Jaipur,302029,7,3,0
10-09-2025,Rajasthan,Jaipur,303006,6,1,0
10-09-2025,Rajasthan,Jaipur,303104,5,2,0
10-09-2025,Rajasthan,Jaipur,303107,3,0,0
10-09-2025,Rajasthan,Jaipur,303301,6,1,0
10-09-2025,Rajasthan,Jaipur,303338,7,1,0
10-09-2025,Rajasthan,Jaipur,303701,1,2,0
10-09-2025,Rajasthan,Jaipur,303706,1,0,0
10-09-2025,Rajasthan,Jaipur,303807,6,0,0
11-09-2025,Rajasthan,Jaipur,302021,5,1,0
11-09-2025,Rajasthan,Jaipur,302024,0,1,0
11-09-2025,Rajasthan,Jaipur,302027,3,4,0
11-09-2025,Rajasthan,Jaipur,302029,12,6,0
11-09-2025,Rajasthan,Jaipur,302031,7,1,0
11-09-2025,Rajasthan,Jaipur,303001,1,1,0
11-09-2025,Rajasthan,Jaipur,303008,7,0,0
11-09-2025,Rajasthan,Jaipur,303104,7,3,0
11-09-2025,Rajasthan,Jaipur,303110,1,2,0
11-09-2025,Rajasthan,Jaipur,303305,3,1,0
11-09-2025,Rajasthan,Jaipur,303328,3,3,0
11-09-2025,Rajasthan,Jaipur,303338,4,3,0
11-09-2025,Rajasthan,Jaipur,303702,6,1,0
11-09-2025,Rajasthan,Jaipur,303712,3,0,0
11-09-2025,Rajasthan,Jaipur,303801,2,1,0
11-09-2025,Rajasthan,Jaipur,303803,3,0,0
11-09-2025,Rajasthan,Jaipur,303806,3,3,0
11-09-2025,Rajasthan,Jaipur,303901,8,3,0
11-09-2025,Rajasthan,Jaipur,303908,6,0,0
14-09-2025,Rajasthan,Jaipur,302015,1,0,0
14-09-2025,Rajasthan,Jaipur,302018,3,1,0
14-09-2025,Rajasthan,Jaipur,302020,0,1,0
14-09-2025,Rajasthan,Jaipur,302025,1,0,0
14-09-2025,Rajasthan,Jaipur,302027,8,3,0
14-09-2025,Rajasthan,Jaipur,302029,2,3,0
14-09-2025,Rajasthan,Jaipur,302033,4,1,0
14-09-2025,Rajasthan,Jaipur,303005,3,0,0
14-09-2025,Rajasthan,Jaipur,303109,2,0,0
14-09-2025,Rajasthan,Jaipur,303120,10,1,0
14-09-2025,Rajasthan,Jaipur,303348,1,0,0
14-09-2025,Rajasthan,Jaipur,303803,9,0,0
12-09-2025,Rajasthan,Jaipur,302001,9,4,0
12-09-2025,Rajasthan,Jaipur,302002,9,1,0
12-09-2025,Rajasthan,Jaipur,302003,6,5,0
12-09-2025,Rajasthan,Jaipur,302004,5,4,0
12-09-2025,Rajasthan,Jaipur,302005,1,0,0
12-09-2025,Rajasthan,Jaipur,302013,3,0,0
12-09-2025,Rajasthan,Jaipur,302020,8,5,0
12-09-2025,Rajasthan,Jaipur,302026,4,1,0
12-09-2025,Rajasthan,Jaipur,302029,6,7,0
12-09-2025,Rajasthan,Jaipur,302031,7,2,0
12-09-2025,Rajasthan,Jaipur,302033,5,3,0
12-09-2025,Rajasthan,Jaipur,303007,10,1,0
12-09-2025,Rajasthan,Jaipur,303009,7,1,0
12-09-2025,Rajasthan,Jaipur,303012,4,2,0
12-09-2025,Rajasthan,Jaipur,303102,3,1,0
12-09-2025,Rajasthan,Jaipur,303107,2,1,0
12-09-2025,Rajasthan,Jaipur,303108,8,4,0
12-09-2025,Rajasthan,Jaipur,303338,8,1,0
12-09-2025,Rajasthan,Jaipur,303601,2,2,0
12-09-2025,Rajasthan,Jaipur,303602,4,3,0
12-09-2025,Rajasthan,Jaipur,303704,1,3,0
12-09-2025,Rajasthan,Jaipur,303706,4,2,0
12-09-2025,Rajasthan,Jaipur,303712,10,2,0
12-09-2025,Rajasthan,Jaipur,303803,3,0,0
12-09-2025,Rajasthan,Jaipur,303904,1,3,0
13-09-2025,Rajasthan,Jaipur,302006,5,1,0
