date,state,district,pincode,age_0_5,age_5_17,age_18_greater
01-04-2025,Uttar Pradesh,Kanpur Nagar,208004,73,44,16
01-05-2025,Uttar Pradesh,Kanpur Nagar,208010,149,93,11
01-05-2025,Uttar Pradesh,Kanpur Nagar,209210,116,85,12
01-05-2025,Uttar Pradesh,Kanpur Nagar,208001,471,485,23
01-05-2025,Uttar Pradesh,Kanpur Nagar,208027,99,191,11
01-07-2025,Uttar Pradesh,Kanpur Nagar,208002,132,162,13
27-03-2025,Uttar Pradesh,Kanpur Nagar,208001,18,56,11
09-03-2025,Uttar Pradesh,Kanpur Nagar,208001,29,82,12
01-04-2025,Uttar Pradesh,Kanpur Nagar,208003,41,27,10
01-04-2025,Uttar Pradesh,Kanpur Nagar,208007,72,96,23
03-09-2025,Uttar Pradesh,Kanpur Nagar,208004,1,2,0
03-09-2025,Uttar Pradesh,Kanpur Nagar,208007,6,8,0
03-09-2025,Uttar Pradesh,Kanpur Nagar,208013,1,1,0
03-09-2025,Uttar Pradesh,Kanpur Nagar,208014,2,4,1
03-09-2025,Uttar Pradesh,Kanpur Nagar,208017,4,6,0
03-09-2025,Uttar Pradesh,Kanpur Nagar,208021,6,10,0
03-09-2025,Uttar Pradesh,Kanpur Nagar,209206,1,13,1
03-09-2025,Uttar Pradesh,Kanpur Nagar,209210,2,2,0
03-09-2025,Uttar Pradesh,Kanpur Nagar,209305,1,1,0
03-09-2025,Uttar Pradesh,Kanpur Nagar,209308,1,3,0
02-09-2025,Uttar Pradesh,Kanpur Nagar,208010,1,2,0
02-09-2025,Uttar Pradesh,Kanpur Nagar,208012,3,2,0
02-09-2025,Uttar Pradesh,Kanpur Nagar,208020,2,1,0
02-09-2025,Uttar Pradesh,Kanpur Nagar,208025,2,5,0
02-09-2025,Uttar Pradesh,Kanpur Nagar,209202,4,10,0
02-09-2025,Uttar Pradesh,Kanpur Nagar,209209,0,1,1
02-09-2025,Uttar Pradesh,Kanpur Nagar,209402,2,2,0
01-09-2025,Uttar Pradesh,Kanpur Nagar,208002,2,1,0
01-09-2025,Uttar Pradesh,Kanpur Nagar,208003,0,3,0
01-09-2025,Uttar Pradesh,Kanpur Nagar,208006,1,5,0
01-09-2025,Uttar Pradesh,Kanpur Nagar,209202,11,13,0
01-09-2025,Uttar Pradesh,Kanpur Nagar,209206,4,11,0
01-09-2025,Uttar Pradesh,Kanpur Nagar,209209,2,6,0
01-09-2025,Uttar Pradesh,Kanpur Nagar,209217,3,3,0
06-09-2025,Uttar Pradesh,Kanpur Nagar,208013,2,3,0
06-09-2025,Uttar Pradesh,Kanpur Nagar,208017,4,4,0
06-09-2025,Uttar Pradesh,Kanpur Nagar,209205,1,0,0
06-09-2025,Uttar Pradesh,Kanpur Nagar,209210,1,1,0
06-09-2025,Uttar Pradesh,Kanpur Nagar,209402,4,3,0
05-09-2025,Uttar Pradesh,Kanpur Nagar,208003,1,0,0
05-09-2025,Uttar Pradesh,Kanpur Nagar,208011,2,0,0
