date,state,district,pincode,age_0_5,age_5_17,age_18_greater
01-04-2025,Uttar Pradesh,Lucknow,226005,83,92,23
01-05-2025,Uttar Pradesh,Lucknow,226003,447,375,23
01-07-2025,Uttar Pradesh,Lucknow,226003,592,532,18
01-07-2025,Uttar Pradesh,Lucknow,226018,109,92,14
01-07-2025,Uttar Pradesh,Lucknow,226001,212,199,13
03-09-2025,Uttar Pradesh,Lucknow,226002,10,13,1
03-09-2025,Uttar Pradesh,Lucknow,226006,2,0,0
03-09-2025,Uttar Pradesh,Lucknow,226007,1,0,0
03-09-2025,Uttar Pradesh,Lucknow,226008,2,2,0
03-09-2025,Uttar Pradesh,Lucknow,226012,2,4,0
03-09-2025,Uttar Pradesh,Lucknow,226023,1,3,0
03-09-2025,Uttar Pradesh,Lucknow,226024,1,2,0
03-09-2025,Uttar Pradesh,Lucknow,226026,1,1,0
03-09-2025,Uttar Pradesh,Lucknow,226101,2,5,0
03-09-2025,Uttar Pradesh,Lucknow,226102,4,0,0
03-09-2025,Uttar Pradesh,Lucknow,227105,2,3,0
03-09-2025,Uttar Pradesh,Lucknow,227111,4,3,0
03-09-2025,Uttar Pradesh,Lucknow,227125,4,3,0
03-09-2025,Uttar Pradesh,Lucknow,227202,4,4,0
03-09-2025,Uttar Pradesh,Lucknow,227205,3,3,0
02-09-2025,Uttar Pradesh,Lucknow,226016,11,8,0
02-09-2025,Uttar Pradesh,Lucknow,226026,2,3,0
02-09-2025,Uttar Pradesh,Lucknow,226029,1,1,0
02-09-2025,Uttar Pradesh,Lucknow,226301,2,1,0
02-09-2025,Uttar Pradesh,Lucknow,226401,1,1,0
02-09-2025,Uttar Pradesh,Lucknow,227125,3,8,0
02-09-2025,Uttar Pradesh,Lucknow,227305,11,7,0
01-09-2025,Uttar Pradesh,Lucknow,226012,3,4,0
01-09-2025,Uttar Pradesh,Lucknow,226013,1,1,0
01-09-2025,Uttar Pradesh,Lucknow,226022,1,5,0
01-09-2025,Uttar Pradesh,Lucknow,226024,2,7,0
01-09-2025,Uttar Pradesh,Lucknow,226026,1,3,0
01-09-2025,Uttar Pradesh,Lucknow,226029,0,1,0
01-09-2025,Uttar Pradesh,Lucknow,226030,1,0,0
01-09-2025,Uttar Pradesh,Lucknow,227205,3,3,0
06-09-2025,Uttar Pradesh,Lucknow,226004,4,2,0
06-09-2025,Uttar Pradesh,Lucknow,226005,2,4,1
06-09-2025,Uttar Pradesh,Lucknow,226007,1,0,0
06-09-2025,Uttar Pradesh,Lucknow,226011,0,3,1
06-09-2025,Uttar Pradesh,Lucknow,226024,3,0,0
06-09-2025,Uttar Pradesh,Lucknow,226201,1,0,0
06-09-2025,Uttar Pradesh,Lucknow,227309,0,2,0
05-09-2025,Uttar Pradesh,Lucknow,226001,1,0,0
05-09-2025,Uttar Pradesh,Lucknow,226005,1,1,0
05-09-2025,Uttar Pradesh,Lucknow,226011,0,1,0
05-09-2025,Uttar Pradesh,Lucknow,226012,0,2,0
05-09-2025,Uttar Pradesh,Lucknow,226016,2,1,0
05-09-2025,Uttar Pradesh,Lucknow,226017,3,3,0
05-09-2025,Uttar Pradesh,Lucknow,227115,1,1,0
05-09-2025,Uttar Pradesh,Lucknow,227309,2,0,0
04-09-2025,Uttar Pradesh,Lucknow,226001,7,10,0
04-09-2025,Uttar Pradesh,Lucknow,226010,3,5,0
04-09-2025,Uttar Pradesh,Lucknow,226016,5,4,0
04-09-2025,Uttar Pradesh,Lucknow,226024,0,4,0
04-09-2025,Uttar Pradesh,Lucknow,226028,6,6,0
04-09-2025,Uttar Pradesh,Lucknow,226301,1,1,0
04-09-2025,Uttar Pradesh,Lucknow,227107,16,11,0
04-09-2025,Uttar Pradesh,Lucknow,227111,10,12,0
04-09-2025,Uttar Pradesh,Lucknow,227125,0,4,0
07-09-2025,Uttar Pradesh,Lucknow,226001,3,1,0
07-09-2025,Uttar Pradesh,Lucknow,226007,0,1,0
07-09-2025,Uttar Pradesh,Lucknow,226016,5,1,0
07-09-2025,Uttar Pradesh,Lucknow,226021,2,2,0
07-09-2025,Uttar Pradesh,Lucknow,226029,1,2,0
07-09-2025,Uttar Pradesh,Lucknow,227205,3,0,0
09-09-2025,Uttar Pradesh,Lucknow,226011,1,4,0
09-09-2025,Uttar Pradesh,Lucknow,226012,4,4,0
09-09-2025,Uttar Pradesh,Lucknow,226018,1,2,0
09-09-2025,Uttar Pradesh,Lucknow,226026,1,3,0
09-09-2025,Uttar Pradesh,Lucknow,226028,3,7,0
09-09-2025,Uttar Pradesh,Lucknow,226301,3,1,0
09-09-2025,Uttar Pradesh,Lucknow,226302,1,0,0
09-09-2025,Uttar Pradesh,Lucknow,227111,6,2,0
09-09-2025,Uttar Pradesh,Lucknow,227115,5,6,0
09-09-2025,Uttar Pradesh,Lucknow,227116,3,4,0
08-09-2025,Uttar Pradesh,Lucknow,226011,3,0,0
08-09-2025,Uttar Pradesh,Lucknow,226022,3,4,0
08-09-2025,Uttar Pradesh,Lucknow,226023,3,3,0
08-09-2025,Uttar Pradesh,Lucknow,226026,1,3,0
08-09-2025,Uttar Pradesh,Lucknow,226028,3,7,0
08-09-2025,Uttar Pradesh,Lucknow,226102,1,0,0
08-09-2025,Uttar Pradesh,Lucknow,226501,1,0,0
10-09-2025,Uttar Pradesh,Lucknow,226004,6,5,0
10-09-2025,Uttar Pradesh,Lucknow,226005,5,1,0
10-09-2025,Uttar Pradesh,Lucknow,226025,1,1,0
10-09-2025,Uttar Pradesh,Lucknow,226026,0,3,0
10-09-2025,Uttar Pradesh,Lucknow,226101,1,1,0
10-09-2025,Uttar Pradesh,Lucknow,226501,1,0,0
10-09-2025,Uttar Pradesh,Lucknow,227107,10,6,0
11-09-2025,Uttar Pradesh,Lucknow,226005,4,2,0
11-09-2025,Uttar Pradesh,Lucknow,226008,6,0,0
11-09-2025,Uttar Pradesh,Lucknow,226011,1,2,0
11-09-2025,Uttar Pradesh,Lucknow,226013,1,1,0
11-09-2025,Uttar Pradesh,Lucknow,226028,6,0,0
11-09-2025,Uttar Pradesh,Lucknow,226029,1,0,0
11-09-2025,Uttar Pradesh,Lucknow,226101,3,1,0
11-09-2025,Uttar Pradesh,Lucknow,226301,1,1,0
11-09-2025,Uttar Pradesh,Lucknow,227101,0,1,0
11-09-2025,Uttar Pradesh,Lucknow,227111,5,6,0
11-09-2025,Uttar Pradesh,Lucknow,227308,6,4,0
11-09-2025,Uttar Pradesh,Lucknow,227309,3,1,0
14-09-2025,Uttar Pradesh,Lucknow,226008,2,0,0
14-09-2025,Uttar Pradesh,Lucknow,226020,1,1,0
14-09-2025,Uttar Pradesh,Lucknow,226028,0,2,0
14-09-2025,Uttar Pradesh,Lucknow,227101,1,6,0
14-09-2025,Uttar Pradesh,Lucknow,227125,0,1,0
12-09-2025,Uttar Pradesh,Lucknow,226004,10,3,0
12-09-2025,Uttar Pradesh,Lucknow,226013,2,2,0
12-09-2025,Uttar Pradesh,Lucknow,226020,10,6,1
12-09-2025,Uttar Pradesh,Lucknow,226021,6,4,0
12-09-2025,Uttar Pradesh,Lucknow,226029,0,1,0
12-09-2025,Uttar Pradesh,Lucknow,226302,2,0,0
12-09-2025,Uttar Pradesh,Lucknow,226501,3,1,0
12-09-2025,Uttar Pradesh,Lucknow,227308,3,13,0
13-09-2025,Uttar Pradesh,Lucknow,226003,9,12,0
13-09-2025,Uttar Pradesh,Lucknow,226006,2,0,0
13-09-2025,Uttar Pradesh,Lucknow,226008,1,0,0
13-09-2025,Uttar Pradesh,Lucknow,226017,4,3,0
13-09-2025,Uttar Pradesh,Lucknow,226018,4,3,0
13-09-2025,Uttar Pradesh,Lucknow,226021,6,5,0
13-09-2025,Uttar Pradesh,Lucknow,226023,3,3,0
