date,state,district,pincode,age_0_5,age_5_17,age_18_greater
01-09-2025,Bihar,Patna,800001,1,10,0
01-09-2025,Bihar,Patna,800009,2,5,0
01-09-2025,Bihar,Patna,800013,1,0,0
01-09-2025,Bihar,Patna,800023,0,2,0
01-09-2025,Bihar,Patna,800111,0,1,0
01-09-2025,Bihar,Patna,803212,8,16,0
01-04-2025,Bihar,Patna,801505,60,212,10
01-06-2025,Bihar,Patna,801109,116,239,10
01-06-2025,Bihar,Patna,804453,102,404,10
01-07-2025,Bihar,Patna,801110,154,428,31
01-04-2025,Bihar,Patna,800002,39,199,19
03-09-2025,Bihar,Patna,800007,2,6,0
03-09-2025,Bihar,Patna,800012,0,1,0
03-09-2025,Bihar,Patna,800020,0,8,0
03-09-2025,Bihar,Patna,800026,0,1,0
03-09-2025,Bihar,Patna,800027,1,3,0
03-09-2025,Bihar,Patna,801108,0,3,0
03-09-2025,Bihar,Patna,801112,0,4,0
03-09-2025,Bihar,Patna,803202,3,7,0
03-09-2025,Bihar,Patna,803211,1,5,0
02-09-2025,Bihar,Patna,800023,0,5,0
02-09-2025,Bihar,Patna,800026,0,3,0
02-09-2025,Bihar,Patna,801108,4,3,0
02-09-2025,Bihar,Patna,801113,0,5,0
02-09-2025,Bihar,Patna,801502,0,1,0
02-09-2025,Bihar,Patna,801506,1,1,0
02-09-2025,Bihar,Patna,803110,2,3,0
02-09-2025,Bihar,Patna,803212,0,10,0
02-09-2025,Bihar,Patna,804451,2,9,1
05-09-2025,Bihar,Patna,800004,0,2,0
05-09-2025,Bihar,Patna,800008,5,3,0
05-09-2025,Bihar,Patna,800013,0,2,0
05-09-2025,Bihar,Patna,801103,0,3,0
05-09-2025,Bihar,Patna,801108,2,6,0
05-09-2025,Bihar,Patna,801505,1,1,0
05-09-2025,Bihar,Patna,803211,2,6,0
05-09-2025,Bihar,Patna,803221,0,1,0
05-09-2025,Bihar,Patna,804452,1,7,0
06-09-2025,Bihar,Patna,800001,3,8,0
06-09-2025,Bihar,Patna,800003,0,5,0
06-09-2025,Bihar,Patna,800023,3,5,0
06-09-2025,Bihar,Patna,800111,0,7,0
06-09-2025,Bihar,Patna,801103,3,4,0
06-09-2025,Bihar,Patna,801110,1,8,0
06-09-2025,Bihar,Patna,801113,1,2,0
06-09-2025,Bihar,Patna,803201,2,4,0
06-09-2025,Bihar,Patna,803202,1,8,0
06-09-2025,Bihar,Patna,803211,2,4,0
06-09-2025,Bihar,Patna,803302,1,2,0
06-09-2025,Bihar,Patna,803307,2,0,0
06-09-2025,Bihar,Patna,804426,1,0,0
04-09-2025,Bihar,Patna,800001,5,10,0
04-09-2025,Bihar,Patna,800010,0,4,0
04-09-2025,Bihar,Patna,800013,1,1,0
04-09-2025,Bihar,Patna,800023,0,2,0
04-09-2025,Bihar,Patna,801109,2,10,0
04-09-2025,Bihar,Patna,803202,2,10,1
04-09-2025,Bihar,Patna,803213,3,4,0
04-09-2025,Bihar,Patna,803221,2,1,0
07-09-2025,Bihar,Patna,800008,3,8,0
07-09-2025,Bihar,Patna,800018,1,2,0
07-09-2025,Bihar,Patna,800020,1,3,0
07-09-2025,Bihar,Patna,801103,0,2,0
07-09-2025,Bihar,Patna,801503,0,5,0
07-09-2025,Bihar,Patna,803306,1,0,0
08-09-2025,Bihar,Patna,800002,1,2,0
08-09-2025,Bihar,Patna,800003,3,2,0
08-09-2025,Bihar,Patna,800007,0,1,0
08-09-2025,Bihar,Patna,800008,3,5,0
08-09-2025,Bihar,Patna,800012,2,4,0
08-09-2025,Bihar,Patna,800013,0,2,0
08-09-2025,Bihar,Patna,800023,2,2,0
08-09-2025,Bihar,Patna,800027,0,1,0
08-09-2025,Bihar,Patna,801108,3,7,0
08-09-2025,Bihar,Patna,803201,4,11,0
08-09-2025,Bihar,Patna,803212,12,10,0
08-09-2025,Bihar,Patna,803221,1,0,0
08-09-2025,Bihar,Patna,803301,4,1,0
08-09-2025,Bihar,Patna,803302,1,1,0
08-09-2025,Bihar,Patna,804423,0,4,0
09-09-2025,Bihar,Patna,800003,1,0,0
09-09-2025,Bihar,Patna,800010,4,2,0
09-09-2025,Bihar,Patna,800020,1,7,0
09-09-2025,Bihar,Patna,801102,0,1,0
09-09-2025,Bihar,Patna,801109,6,3,0
09-09-2025,Bihar,Patna,801503,6,11,0
09-09-2025,Bihar,Patna,804423,1,2,0
10-09-2025,Bihar,Patna,800001,0,9,1
10-09-2025,Bihar,Patna,800002,4,0,0
10-09-2025,Bihar,Patna,800006,1,1,0
10-09-2025,Bihar,Patna,800007,0,8,0
10-09-2025,Bihar,Patna,800012,2,2,0
10-09-2025,Bihar,Patna,803110,0,1,0
10-09-2025,Bihar,Patna,803303,0,1,0
11-09-2025,Bihar,Patna,800001,1,4,0
11-09-2025,Bihar,Patna,800002,2,5,0
11-09-2025,Bihar,Patna,800014,0,2,0
11-09-2025,Bihar,Patna,800111,1,6,0
11-09-2025,Bihar,Patna,801502,4,6,0
11-09-2025,Bihar,Patna,803201,5,8,0
11-09-2025,Bihar,Patna,803211,1,9,0
11-09-2025,Bihar,Patna,803303,0,2,0
11-09-2025,Bihar,Patna,804426,0,1,0
11-09-2025,Bihar,Patna,804454,0,7,0
14-09-2025,Bihar,Patna,800007,0,2,1
14-09-2025,Bihar,Patna,800025,3,0,0
14-09-2025,Bihar,Patna,801105,1,0,0
14-09-2025,Bihar,Patna,801502,0,1,0
14-09-2025,Bihar,Patna,803306,1,1,0
12-09-2025,Bihar,Patna,800002,0,1,0
12-09-2025,Bihar,Patna,800018,0,3,0
12-09-2025,Bihar,Patna,801109,8,9,0
12-09-2025,Bihar,Patna,801503,8,13,0
12-09-2025,Bihar,Patna,801505,0,6,0
12-09-2025,Bihar,Patna,803202,6,6,0
12-09-2025,Bihar,Patna,803211,2,12,0
12-09-2025,Bihar,Patna,803212,5,6,0
12-09-2025,Bihar,Patna,804451,2,11,0
12-09-2025,Bihar,Patna,804454,0,3,0
15-09-2025,Bihar,Patna,800002,0,6,0
