date,state,district,pincode,age_0_5,age_5_17,age_18_greater
01-07-2025,Uttar Pradesh,Shahjahanpur,242221,765,696,18
03-09-2025,Uttar Pradesh,Shahjahanpur,242127,13,30,2
03-09-2025,Uttar Pradesh,Shahjahanpur,242220,1,3,0
03-09-2025,Uttar Pradesh,Shahjahanpur,242221,15,8,1
03-09-2025,Uttar Pradesh,Shahjahanpur,242303,4,12,0
02-09-2025,Uttar Pradesh,Shahjahanpur,242303,3,4,0
02-09-2025,Uttar Pradesh,Shahjahanpur,242307,5,2,0
01-09-2025,Uttar Pradesh,Shahjahanpur,242042,1,1,0
01-09-2025,Uttar Pradesh,Shahjahanpur,242220,7,7,0
01-09-2025,Uttar Pradesh,Shahjahanpur,242307,4,3,0
06-09-2025,Uttar Pradesh,Shahjahanpur,242001,20,15,0
06-09-2025,Uttar Pradesh,Shahjahanpur,242307,1,0,0
05-09-2025,Uttar Pradesh,Shahjahanpur,242221,3,4,1
05-09-2025,Uttar Pradesh,Shahjahanpur,242305,2,0,0
05-09-2025,Uttar Pradesh,Shahjahanpur,242307,2,1,0
04-09-2025,Uttar Pradesh,Shahjahanpur,242220,1,3,0
07-09-2025,Uttar Pradesh,Shahjahanpur,242001,5,2,0
07-09-2025,Uttar Pradesh,Shahjahanpur,242127,4,2,0
07-09-2025,Uttar Pradesh,Shahjahanpur,242305,1,0,0
09-09-2025,Uttar Pradesh,Shahjahanpur,242306,3,6,0
09-09-2025,Uttar Pradesh,Shahjahanpur,242401,9,10,0
08-09-2025,Uttar Pradesh,Shahjahanpur,242221,10,7,0
08-09-2025,Uttar Pradesh,Shahjahanpur,242401,12,10,0
08-09-2025,Uttar Pradesh,Shahjahanpur,242407,13,2,0
10-09-2025,Uttar Pradesh,Shahjahanpur,242123,1,0,0
10-09-2025,Uttar Pradesh,Shahjahanpur,242223,1,1,0
10-09-2025,Uttar Pradesh,Shahjahanpur,242301,14,5,0
10-09-2025,Uttar Pradesh,Shahjahanpur,242401,7,5,0
14-09-2025,Uttar Pradesh,Shahjahanpur,242221,4,1,0
14-09-2025,Uttar Pradesh,Shahjahanpur,242223,1,0,0
14-09-2025,Uttar Pradesh,Shahjahanpur,242305,3,0,0
14-09-2025,Uttar Pradesh,Shahjahanpur,242307,10,0,0
12-09-2025,Uttar Pradesh,Shahjahanpur,242001,26,16,2
12-09-2025,Uttar Pradesh,Shahjahanpur,242127,7,18,1
12-09-2025,Uttar Pradesh,Shahjahanpur,242306,7,6,0
13-09-2025,Uttar Pradesh,Shahjahanpur,242127,2,6,0
15-09-2025,Uttar Pradesh,Shahjahanpur,242127,5,12,1
15-09-2025,Uttar Pradesh,Shahjahanpur,242226,1,0,0
15-09-2025,Uttar Pradesh,Shahjahanpur,242305,3,1,0
15-09-2025,Uttar Pradesh,Shahjahanpur,242306,2,1,0
16-09-2025,Uttar Pradesh,Shahjahanpur,242223,0,2,0
19-09-2025,Uttar Pradesh,Shahjahanpur,242001,15,15,0
19-09-2025,Uttar Pradesh,Shahjahanpur,242405,3,2,0
17-09-2025,Uttar Pradesh,Shahjahanpur,242401,3,2,0
18-09-2025,Uttar Pradesh,Shahjahanpur,242001,14,14,0
18-09-2025,Uttar Pradesh,Shahjahanpur,242220,2,0,0
18-09-2025,Uttar Pradesh,Shahjahanpur,242226,2,1,0
18-09-2025,Uttar Pradesh,Shahjahanpur,242303,1,1,0
18-09-2025,Uttar Pradesh,Shahjahanpur,242306,2,3,0
22-09-2025,Uttar Pradesh,Shahjahanpur,242221,3,12,0
22-09-2025,Uttar Pradesh,Shahjahanpur,242301,1,5,0
20-09-2025,Uttar Pradesh,Shahjahanpur,242220,0,3,0
20-09-2025,Uttar Pradesh,Shahjahanpur,242301,5,0,0
25-09-2025,Uttar Pradesh,Shahjahanpur,242001,16,25,0
25-09-2025,Uttar Pradesh,Shahjahanpur,242305,3,4,0
25-09-2025,Uttar Pradesh,Shahjahanpur,242406,2,8,0
24-09-2025,Uttar Pradesh,Shahjahanpur,242221,3,6,0
24-09-2025,Uttar Pradesh,Shahjahanpur,242305,2,3,0
23-09-2025,Uttar Pradesh,Shahjahanpur,242223,1,0,0
27-09-2025,Uttar Pradesh,Shahjahanpur,242042,1,2,0
27-09-2025,Uttar Pradesh,Shahjahanpur,242127,1,8,0
27-09-2025,Uttar Pradesh,Shahjahanpur,242301,3,0,0
27-09-2025,Uttar Pradesh,Shahjahanpur,242307,1,0,0
29-09-2025,Uttar Pradesh,Shahjahanpur,242001,1,2,0
29-09-2025,Uttar Pradesh,Shahjahanpur,242123,1,0,0
26-09-2025,Uttar Pradesh,Shahjahanpur,242220,1,2,1
26-09-2025,Uttar Pradesh,Shahjahanpur,242307,3,0,0
26-09-2025,Uttar Pradesh,Shahjahanpur,242405,3,5,0
26-09-2025,Uttar Pradesh,Shahjahanpur,242406,3,1,0
26-10-2025,Uttar Pradesh,Shahjahanpur,242220,0,1,1
26-10-2025,Uttar Pradesh,Shahjahanpur,242306,1,0,0
26-10-2025,Uttar Pradesh,Shahjahanpur,242405,1,0,0
13-10-2025,Uttar Pradesh,Shahjahanpur,242123,1,0,0
16-10-2025,Uttar Pradesh,Shahjahanpur,242221,4,9,2
16-10-2025,Uttar Pradesh,Shahjahanpur,242223,3,1,0
16-10-2025,Uttar Pradesh,Shahjahanpur,242226,0,1,0
16-10-2025,Uttar Pradesh,Shahjahanpur,242407,4,0,0
15-10-2025,Uttar Pradesh,Shahjahanpur,242221,2,9,0
15-10-2025,Uttar Pradesh,Shahjahanpur,242307,4,5,0
17-10-2025,Uttar Pradesh,Shahjahanpur,242223,5,3,0
17-10-2025,Uttar Pradesh,Shahjahanpur,242226,2,1,0
17-10-2025,Uttar Pradesh,Shahjahanpur,242307,8,14,0
17-10-2025,Uttar Pradesh,Shahjahanpur,242405,7,9,0
19-10-2025,Uttar Pradesh,Shahjahanpur,242221,4,17,0
19-10-2025,Uttar Pradesh,Shahjahanpur,242226,2,0,0
18-10-2025,Uttar Pradesh,Shahjahanpur,242301,2,2,1
18-10-2025,Uttar Pradesh,Shahjahanpur,242305,3,2,0
18-10-2025,Uttar Pradesh,Shahjahanpur,242406,7,4,0
24-10-2025,Uttar Pradesh,Shahjahanpur,242226,1,0,0
24-10-2025,Uttar Pradesh,Shahjahanpur,242406,1,0,0
21-10-2025,Uttar Pradesh,Shahjahanpur,242305,0,1,0
20-10-2025,Uttar Pradesh,Shahjahanpur,242127,0,1,0
25-10-2025,Uttar Pradesh,Shahjahanpur,242127,6,2,1
25-10-2025,Uttar Pradesh,Shahjahanpur,242221,4,7,2
29-10-2025,Uttar Pradesh,Shahjahanpur,242001,5,5,0
29-10-2025,Uttar Pradesh,Shahjahanpur,242303,2,1,0
29-10-2025,Uttar Pradesh,Shahjahanpur,242401,2,0,0
28-10-2025,Uttar Pradesh,Shahjahanpur,242220,0,1,0
28-10-2025,Uttar Pradesh,Shahjahanpur,242306,1,2,0
28-10-2025,Uttar Pradesh,Shahjahanpur,242307,2,2,0
28-10-2025,Uttar Pradesh,Shahjahanpur,242405,5,0,0
06-11-2025,Uttar Pradesh,Shahjahanpur,242001,26,8,0
06-11-2025,Uttar Pradesh,Shahjahanpur,242042,3,1,0
06-11-2025,Uttar Pradesh,Shahjahanpur,242305,2,0,0
05-11-2025,Uttar Pradesh,Shahjahanpur,242220,4,1,0
05-11-2025,Uttar Pradesh,Shahjahanpur,242221,11,10,1
05-11-2025,Uttar Pradesh,Shahjahanpur,242401,16,3,0
05-11-2025,Uttar Pradesh,Shahjahanpur,242405,5,7,0
04-11-2025,Uttar Pradesh,Shahjahanpur,242305,1,0,0
07-11-2025,Uttar Pradesh,Shahjahanpur,242001,7,9,0
07-11-2025,Uttar Pradesh,Shahjahanpur,242407,1,1,0
10-11-2025,Uttar Pradesh,Shahjahanpur,242123,1,0,0
10-11-2025,Uttar Pradesh,Shahjahanpur,242301,4,4,2
10-11-2025,Uttar Pradesh,Shahjahanpur,242406,7,3,0
08-11-2025,Uttar Pradesh,Shahjahanpur,242223,4,5,0
08-11-2025,Uttar Pradesh,Shahjahanpur,242301,6,1,0
08-11-2025,Uttar Pradesh,Shahjahanpur,242405,3,1,0
08-11-2025,Uttar Pradesh,Shahjahanpur,242406,5,3,0
09-11-2025,Uttar Pradesh,Shahjahanpur,242001,13,12,0
09-11-2025,Uttar Pradesh,Shahjahanpur,242306,5,0,0
13-11-2025,Uttar Pradesh,Shahjahanpur,242306,2,2,0
13-11-2025,Uttar Pradesh,Shahjahanpur,242307,3,1,0
12-11-2025,Uttar Pradesh,Shahjahanpur,242042,2,1,0
12-11-2025,Uttar Pradesh,Shahjahanpur,242407,1,4,0
14-11-2025,Uttar Pradesh,Shahjahanpur,242127,3,7,0
14-11-2025,Uttar Pradesh,Shahjahanpur,242221,3,4,0
14-11-2025,Uttar Pradesh,Shahjahanpur,242223,3,2,0
14-11-2025,Uttar Pradesh,Shahjahanpur,242406,0,1,0
30-10-2025,Uttar Pradesh,Shahjahanpur,242221,9,18,0
30-10-2025,Uttar Pradesh,Shahjahanpur,242226,4,0,0
30-10-2025,Uttar Pradesh,Shahjahanpur,242401,13,12,0
