date,state,district,pincode,bio_age_5_17,bio_age_17_,city
03-01-2026,Uttar Pradesh,Bareilly,243001,5,7,bareilly
03-01-2026,Uttar Pradesh,Bareilly,243003,4,8,bareilly
03-01-2026,Uttar Pradesh,Bareilly,243202,3,4,bareilly
03-01-2026,Uttar Pradesh,Bareilly,243506,1,0,bareilly
03-01-2026,Uttar Pradesh,Bareilly,262407,2,2,bareilly
02-01-2026,Uttar Pradesh,Bareilly,243001,42,65,bareilly
02-01-2026,Uttar Pradesh,Bareilly,243006,13,22,bareilly
02-01-2026,Uttar Pradesh,Bareilly,243202,32,25,bareilly
02-01-2026,Uttar Pradesh,Bareilly,243203,8,9,bareilly
02-01-2026,Uttar Pradesh,Bareilly,243302,19,19,bareilly
02-01-2026,Uttar Pradesh,Bareilly,243402,19,13,bareilly
02-01-2026,Uttar Pradesh,Bareilly,243504,15,21,bareilly
02-01-2026,Uttar Pradesh,Bareilly,262406,38,41,bareilly
25-12-2025,Uttar Pradesh,Bareilly,243403,5,0,bareilly
29-12-2025,Uttar Pradesh,Bareilly,243201,47,44,bareilly
29-12-2025,Uttar Pradesh,Bareilly,243402,18,6,bareilly
28-12-2025,Uttar Pradesh,Bareilly,243001,14,16,bareilly
28-12-2025,Uttar Pradesh,Bareilly,243202,12,3,bareilly
28-12-2025,Uttar Pradesh,Bareilly,243302,4,6,bareilly
28-12-2025,Uttar Pradesh,Bareilly,243303,5,4,bareilly
28-12-2025,Uttar Pradesh,Bareilly,243403,0,1,bareilly
28-12-2025,Uttar Pradesh,Bareilly,243407,0,2,bareilly
28-12-2025,Uttar Pradesh,Bareilly,243501,4,1,bareilly
28-12-2025,Uttar Pradesh,Bareilly,243504,8,8,bareilly
27-12-2025,Uttar Pradesh,Bareilly,243001,29,42,bareilly
27-12-2025,Uttar Pradesh,Bareilly,243201,75,44,bareilly
27-12-2025,Uttar Pradesh,Bareilly,243403,1,1,bareilly
27-12-2025,Uttar Pradesh,Bareilly,243502,24,29,bareilly
27-12-2025,Uttar Pradesh,Bareilly,243505,36,21,bareilly
27-12-2025,Uttar Pradesh,Bareilly,262122,0,1,bareilly
27-12-2025,Uttar Pradesh,Bareilly,262406,62,45,bareilly
01-01-2026,Uttar Pradesh,Bareilly,243005,34,54,bareilly
01-01-2026,Uttar Pradesh,Bareilly,243203,14,10,bareilly
01-01-2026,Uttar Pradesh,Bareilly,243301,49,39,bareilly
01-01-2026,Uttar Pradesh,Bareilly,243303,66,34,bareilly
01-01-2026,Uttar Pradesh,Bareilly,243407,3,5,bareilly
01-01-2026,Uttar Pradesh,Bareilly,262406,69,61,bareilly
23-12-2025,Uttar Pradesh,Bareilly,243004,0,1,bareilly
21-12-2025,Uttar Pradesh,Bareilly,243123,2,38,bareilly
21-12-2025,Uttar Pradesh,Bareilly,243203,1,7,bareilly
14-12-2025,Uttar Pradesh,Bareilly,243302,4,32,bareilly
14-12-2025,Uttar Pradesh,Bareilly,243506,0,20,bareilly
10-12-2025,Uttar Pradesh,Bareilly,262122,0,1,bareilly
07-12-2025,Uttar Pradesh,Bareilly,243123,4,66,bareilly
07-12-2025,Uttar Pradesh,Bareilly,243403,0,1,bareilly
06-12-2025,Uttar Pradesh,Bareilly,243002,0,1,bareilly
06-12-2025,Uttar Pradesh,Bareilly,262122,0,1,bareilly
15-12-2025,Uttar Pradesh,Bareilly,243002,0,2,bareilly
30-11-2025,Uttar Pradesh,Bareilly,243203,0,17,bareilly
30-11-2025,Uttar Pradesh,Bareilly,243402,1,9,bareilly
01-03-2025,Uttar Pradesh,Bareilly,243505,1297,334,bareilly
01-03-2025,Uttar Pradesh,Bareilly,243123,739,292,bareilly
01-03-2025,Uttar Pradesh,Bareilly,243506,685,117,bareilly
01-04-2025,Uttar Pradesh,Bareilly,243201,2444,742,bareilly
01-04-2025,Uttar Pradesh,Bareilly,243003,509,331,bareilly
01-04-2025,Uttar Pradesh,Bareilly,243203,772,205,bareilly
01-04-2025,Uttar Pradesh,Bareilly,243005,838,418,bareilly
01-04-2025,Uttar Pradesh,Bareilly,243301,1803,466,bareilly
01-04-2025,Uttar Pradesh,Bareilly,243501,352,130,bareilly
01-05-2025,Uttar Pradesh,Bareilly,243506,478,116,bareilly
01-05-2025,Uttar Pradesh,Bareilly,243006,407,283,bareilly
01-05-2025,Uttar Pradesh,Bareilly,243402,406,79,bareilly
01-05-2025,Uttar Pradesh,Bareilly,243123,732,326,bareilly
19-10-2025,Uttar Pradesh,Bareilly,262203,1,0,bareilly
16-10-2025,Uttar Pradesh,Bareilly,243004,0,1,bareilly
28-10-2025,Uttar Pradesh,Bareilly,243002,1,0,bareilly
08-11-2025,Uttar Pradesh,Bareilly,262203,1,0,bareilly
11-11-2025,Uttar Pradesh,Bareilly,262001,0,1,bareilly
16-11-2025,Uttar Pradesh,Bareilly,262203,1,0,bareilly
09-11-2025,Uttar Pradesh,Bareilly,243301,2,17,bareilly
09-11-2025,Uttar Pradesh,Bareilly,243401,0,6,bareilly
09-11-2025,Uttar Pradesh,Bareilly,243402,6,13,bareilly
17-11-2025,Uttar Pradesh,Bareilly,262001,0,1,bareilly
02-11-2025,Uttar Pradesh,Bareilly,243407,0,8,bareilly
02-11-2025,Uttar Pradesh,Bareilly,243501,0,18,bareilly
02-11-2025,Uttar Pradesh,Bareilly,243506,1,16,bareilly
02-11-2025,Uttar Pradesh,Bareilly,262406,5,63,bareilly
05-11-2025,Uttar Pradesh,Bareilly,243407,0,17,bareilly
23-11-2025,Uttar Pradesh,Bareilly,243006,2,27,bareilly
23-11-2025,Uttar Pradesh,Bareilly,243403,0,1,bareilly
23-11-2025,Uttar Pradesh,Bareilly,243407,0,3,bareilly
23-11-2025,Uttar Pradesh,Bareilly,243502,5,20,bareilly
25-11-2025,Uttar Pradesh,Bareilly,243002,0,1,bareilly
25-11-2025,Uttar Pradesh,Bareilly,262122,0,1,bareilly
22-11-2025,Uttar Pradesh,Bareilly,243002,0,1,bareilly
19-11-2025,Uttar Pradesh,Bareilly,262001,0,1,bareilly
30-10-2025,Uttar Pradesh,Bareilly,243004,0,3,bareilly
30-10-2025,Uttar Pradesh,Bareilly,262203,0,1,bareilly
07-09-2025,Uttar Pradesh,Bareilly,243501,1,12,bareilly
05-09-2025,Uttar Pradesh,Bareilly,243122,1,33,bareilly
03-09-2025,Uttar Pradesh,Bareilly,243002,0,1,bareilly
01-09-2025,Uttar Pradesh,Bareilly,243004,0,1,bareilly
29-08-2025,Uttar Pradesh,Bareilly,243002,0,1,bareilly
31-08-2025,Uttar Pradesh,Bareilly,243402,7,28,bareilly
31-08-2025,Uttar Pradesh,Bareilly,243407,0,11,bareilly
31-08-2025,Uttar Pradesh,Bareilly,262406,4,43,bareilly
20-08-2025,Uttar Pradesh,Bareilly,262302,0,1,bareilly
24-09-2025,Uttar Pradesh,Bareilly,243002,0,1,bareilly
13-09-2025,Uttar Pradesh,Bareilly,262202,1,0,bareilly
14-09-2025,Uttar Pradesh,Bareilly,243407,0,6,bareilly
14-08-2025,Uttar Pradesh,Bareilly,262001,0,1,bareilly
16-08-2025,Uttar Pradesh,Bareilly,243402,2,23,bareilly
16-08-2025,Uttar Pradesh,Bareilly,243407,0,1,bareilly
15-08-2025,Uttar Pradesh,Bareilly,243006,0,7,bareilly
17-08-2025,Uttar Pradesh,Bareilly,262407,3,32,bareilly
18-08-2025,Uttar Pradesh,Bareilly,262001,0,1,bareilly
10-10-2025,Uttar Pradesh,Bareilly,243002,0,1,bareilly
05-10-2025,Uttar Pradesh,Bareilly,243407,0,4,bareilly
20-10-2025,Uttar Pradesh,Bareilly,243003,2,5,bareilly
26-10-2025,Uttar Pradesh,Bareilly,243501,1,12,bareilly
