date,state,district,pincode,demo_age_5_17,demo_age_17_,city
01-05-2025,Uttar Pradesh,Bareilly,243123,209,2179,bareilly
01-03-2025,Uttar Pradesh,Bareilly,243506,78,984,bareilly
01-03-2025,Uttar Pradesh,Bareilly,243505,237,2971,bareilly
01-03-2025,Uttar Pradesh,Bareilly,243123,240,2511,bareilly
02-09-2025,Uttar Pradesh,Bareilly,243202,10,80,bareilly
02-09-2025,Uttar Pradesh,Bareilly,243505,25,98,bareilly
01-09-2025,Uttar Pradesh,Bareilly,243004,0,1,bareilly
01-09-2025,Uttar Pradesh,Bareilly,243006,4,18,bareilly
01-09-2025,Uttar Pradesh,Bareilly,243301,3,43,bareilly
03-09-2025,Uttar Pradesh,Bareilly,243122,13,66,bareilly
03-09-2025,Uttar Pradesh,Bareilly,243302,22,49,bareilly
03-09-2025,Uttar Pradesh,Bareilly,243403,0,4,bareilly
03-09-2025,Uttar Pradesh,Bareilly,243502,3,38,bareilly
03-09-2025,Uttar Pradesh,Bareilly,262407,12,22,bareilly
04-09-2025,Uttar Pradesh,Bareilly,243001,17,96,bareilly
04-09-2025,Uttar Pradesh,Bareilly,243301,23,89,bareilly
04-09-2025,Uttar Pradesh,Bareilly,243302,27,76,bareilly
04-09-2025,Uttar Pradesh,Bareilly,243403,0,3,bareilly
04-09-2025,Uttar Pradesh,Bareilly,243503,28,147,bareilly
04-09-2025,Uttar Pradesh,Bareilly,243504,11,43,bareilly
04-09-2025,Uttar Pradesh,Bareilly,262407,5,32,bareilly
05-09-2025,Uttar Pradesh,Bareilly,243005,0,10,bareilly
05-09-2025,Uttar Pradesh,Bareilly,243122,1,33,bareilly
05-09-2025,Uttar Pradesh,Bareilly,243302,4,28,bareilly
05-09-2025,Uttar Pradesh,Bareilly,243303,8,51,bareilly
05-09-2025,Uttar Pradesh,Bareilly,243402,10,29,bareilly
05-09-2025,Uttar Pradesh,Bareilly,243501,3,6,bareilly
05-09-2025,Uttar Pradesh,Bareilly,243502,3,10,bareilly
07-09-2025,Uttar Pradesh,Bareilly,243501,1,10,bareilly
06-09-2025,Uttar Pradesh,Bareilly,243202,9,83,bareilly
06-09-2025,Uttar Pradesh,Bareilly,262407,9,52,bareilly
08-09-2025,Uttar Pradesh,Bareilly,243001,25,141,bareilly
08-09-2025,Uttar Pradesh,Bareilly,243122,11,76,bareilly
08-09-2025,Uttar Pradesh,Bareilly,243303,16,99,bareilly
08-09-2025,Uttar Pradesh,Bareilly,243407,3,22,bareilly
08-09-2025,Uttar Pradesh,Bareilly,262203,0,1,bareilly
08-09-2025,Uttar Pradesh,Bareilly,262407,11,57,bareilly
09-09-2025,Uttar Pradesh,Bareilly,243122,16,101,bareilly
09-09-2025,Uttar Pradesh,Bareilly,243123,12,80,bareilly
09-09-2025,Uttar Pradesh,Bareilly,243202,20,111,bareilly
09-09-2025,Uttar Pradesh,Bareilly,262001,0,1,bareilly
10-09-2025,Uttar Pradesh,Bareilly,243002,0,1,bareilly
10-09-2025,Uttar Pradesh,Bareilly,243006,3,39,bareilly
10-09-2025,Uttar Pradesh,Bareilly,243123,13,83,bareilly
10-09-2025,Uttar Pradesh,Bareilly,243301,28,76,bareilly
10-09-2025,Uttar Pradesh,Bareilly,243403,3,3,bareilly
10-09-2025,Uttar Pradesh,Bareilly,243502,12,63,bareilly
11-09-2025,Uttar Pradesh,Bareilly,243001,20,123,bareilly
11-09-2025,Uttar Pradesh,Bareilly,243005,3,42,bareilly
11-09-2025,Uttar Pradesh,Bareilly,243006,7,34,bareilly
11-09-2025,Uttar Pradesh,Bareilly,243301,22,57,bareilly
11-09-2025,Uttar Pradesh,Bareilly,243303,12,81,bareilly
11-09-2025,Uttar Pradesh,Bareilly,243407,0,6,bareilly
12-09-2025,Uttar Pradesh,Bareilly,243002,0,4,bareilly
