date,state,district,pincode,age_0_5,age_5_17,age_18_greater,city
01-05-2025,Uttar Pradesh,Bareilly,243001,556,328,34,bareilly
01-06-2025,Uttar Pradesh,Bareilly,243001,298,369,21,bareilly
01-07-2025,Uttar Pradesh,Bareilly,243001,499,441,20,bareilly
03-09-2025,Uttar Pradesh,Bareilly,243005,10,5,0,bareilly
03-09-2025,Uttar Pradesh,Bareilly,243123,7,2,0,bareilly
03-09-2025,Uttar Pradesh,Bareilly,243201,11,11,0,bareilly
03-09-2025,Uttar Pradesh,Bareilly,243301,6,8,0,bareilly
03-09-2025,Uttar Pradesh,Bareilly,243407,2,0,0,bareilly
03-09-2025,Uttar Pradesh,Bareilly,243504,3,3,0,bareilly
02-09-2025,Uttar Pradesh,Bareilly,243006,3,3,0,bareilly
02-09-2025,Uttar Pradesh,Bareilly,243123,6,6,0,bareilly
02-09-2025,Uttar Pradesh,Bareilly,243201,12,8,0,bareilly
02-09-2025,Uttar Pradesh,Bareilly,243203,2,1,0,bareilly
02-09-2025,Uttar Pradesh,Bareilly,243302,5,4,0,bareilly
02-09-2025,Uttar Pradesh,Bareilly,243303,13,9,0,bareilly
02-09-2025,Uttar Pradesh,Bareilly,243401,3,4,0,bareilly
02-09-2025,Uttar Pradesh,Bareilly,243502,8,4,0,bareilly
01-09-2025,Uttar Pradesh,Bareilly,243001,10,11,0,bareilly
01-09-2025,Uttar Pradesh,Bareilly,243122,4,7,1,bareilly
06-09-2025,Uttar Pradesh,Bareilly,243006,1,2,0,bareilly
06-09-2025,Uttar Pradesh,Bareilly,243201,13,14,0,bareilly
06-09-2025,Uttar Pradesh,Bareilly,243203,2,2,0,bareilly
06-09-2025,Uttar Pradesh,Bareilly,243301,7,3,0,bareilly
06-09-2025,Uttar Pradesh,Bareilly,243303,3,0,0,bareilly
06-09-2025,Uttar Pradesh,Bareilly,262406,9,9,0,bareilly
05-09-2025,Uttar Pradesh,Bareilly,243201,1,0,0,bareilly
05-09-2025,Uttar Pradesh,Bareilly,243506,4,0,0,bareilly
04-09-2025,Uttar Pradesh,Bareilly,243003,2,3,1,bareilly
04-09-2025,Uttar Pradesh,Bareilly,243006,2,1,0,bareilly
04-09-2025,Uttar Pradesh,Bareilly,243402,0,2,0,bareilly
04-09-2025,Uttar Pradesh,Bareilly,243501,2,4,0,bareilly
04-09-2025,Uttar Pradesh,Bareilly,243505,2,12,0,bareilly
04-09-2025,Uttar Pradesh,Bareilly,243506,3,1,1,bareilly
07-09-2025,Uttar Pradesh,Bareilly,243122,1,0,0,bareilly
07-09-2025,Uttar Pradesh,Bareilly,243201,4,3,0,bareilly
07-09-2025,Uttar Pradesh,Bareilly,243203,1,0,0,bareilly
07-09-2025,Uttar Pradesh,Bareilly,262406,5,3,0,bareilly
09-09-2025,Uttar Pradesh,Bareilly,243203,2,1,0,bareilly
09-09-2025,Uttar Pradesh,Bareilly,243501,4,4,0,bareilly
09-09-2025,Uttar Pradesh,Bareilly,243503,15,8,1,bareilly
08-09-2025,Uttar Pradesh,Bareilly,243003,4,5,0,bareilly
08-09-2025,Uttar Pradesh,Bareilly,243203,4,4,0,bareilly
08-09-2025,Uttar Pradesh,Bareilly,243302,5,7,0,bareilly
08-09-2025,Uttar Pradesh,Bareilly,243401,1,3,0,bareilly
08-09-2025,Uttar Pradesh,Bareilly,243504,12,5,0,bareilly
08-09-2025,Uttar Pradesh,Bareilly,262406,14,4,1,bareilly
10-09-2025,Uttar Pradesh,Bareilly,243005,4,8,0,bareilly
10-09-2025,Uttar Pradesh,Bareilly,243302,4,6,1,bareilly
10-09-2025,Uttar Pradesh,Bareilly,243402,2,0,0,bareilly
10-09-2025,Uttar Pradesh,Bareilly,243505,16,3,0,bareilly
10-09-2025,Uttar Pradesh,Bareilly,262406,15,6,0,bareilly
11-09-2025,Uttar Pradesh,Bareilly,243003,5,9,0,bareilly
11-09-2025,Uttar Pradesh,Bareilly,243122,15,8,0,bareilly
11-09-2025,Uttar Pradesh,Bareilly,243123,6,2,0,bareilly
11-09-2025,Uttar Pradesh,Bareilly,243501,8,1,0,bareilly
11-09-2025,Uttar Pradesh,Bareilly,243506,0,3,0,bareilly
11-09-2025,Uttar Pradesh,Bareilly,262406,12,7,0,bareilly
11-09-2025,Uttar Pradesh,Bareilly,262407,8,4,1,bareilly
13-09-2025,Uttar Pradesh,Bareilly,243005,3,4,0,bareilly
13-09-2025,Uttar Pradesh,Bareilly,243202,4,4,0,bareilly
13-09-2025,Uttar Pradesh,Bareilly,243401,3,2,0,bareilly
13-09-2025,Uttar Pradesh,Bareilly,243504,7,5,0,bareilly
13-09-2025,Uttar Pradesh,Bareilly,243506,0,3,0,bareilly
13-09-2025,Uttar Pradesh,Bareilly,262407,0,2,0,bareilly
12-09-2025,Uttar Pradesh,Bareilly,243005,7,8,0,bareilly
12-09-2025,Uttar Pradesh,Bareilly,243203,7,1,0,bareilly
15-09-2025,Uttar Pradesh,Bareilly,243123,4,1,0,bareilly
15-09-2025,Uttar Pradesh,Bareilly,243303,4,8,0,bareilly
15-09-2025,Uttar Pradesh,Bareilly,243402,1,0,0,bareilly
15-09-2025,Uttar Pradesh,Bareilly,243502,8,4,0,bareilly
17-09-2025,Uttar Pradesh,Bareilly,243006,3,3,0,bareilly
17-09-2025,Uttar Pradesh,Bareilly,243301,7,6,0,bareilly
17-09-2025,Uttar Pradesh,Bareilly,243501,4,3,0,bareilly
16-09-2025,Uttar Pradesh,Bareilly,243203,9,5,0,bareilly
16-09-2025,Uttar Pradesh,Bareilly,243403,0,1,0,bareilly
16-09-2025,Uttar Pradesh,Bareilly,243502,6,3,0,bareilly
19-09-2025,Uttar Pradesh,Bareilly,243201,10,5,0,bareilly
19-09-2025,Uttar Pradesh,Bareilly,243401,0,1,0,bareilly
19-09-2025,Uttar Pradesh,Bareilly,243504,5,5,0,bareilly
19-09-2025,Uttar Pradesh,Bareilly,262407,1,1,0,bareilly
18-09-2025,Uttar Pradesh,Bareilly,243003,7,5,0,bareilly
18-09-2025,Uttar Pradesh,Bareilly,243005,2,7,0,bareilly
18-09-2025,Uttar Pradesh,Bareilly,243006,3,2,0,bareilly
18-09-2025,Uttar Pradesh,Bareilly,243202,5,1,0,bareilly
18-09-2025,Uttar Pradesh,Bareilly,243503,14,12,0,bareilly
18-09-2025,Uttar Pradesh,Bareilly,262406,3,1,1,bareilly
20-09-2025,Uttar Pradesh,Bareilly,243202,4,3,0,bareilly
20-09-2025,Uttar Pradesh,Bareilly,243301,4,6,0,bareilly
20-09-2025,Uttar Pradesh,Bareilly,243504,4,6,0,bareilly
20-09-2025,Uttar Pradesh,Bareilly,243505,11,6,1,bareilly
22-09-2025,Uttar Pradesh,Bareilly,243005,6,7,0,bareilly
22-09-2025,Uttar Pradesh,Bareilly,243123,2,5,0,bareilly
22-09-2025,Uttar Pradesh,Bareilly,243301,2,2,0,bareilly
22-09-2025,Uttar Pradesh,Bareilly,243303,4,3,0,bareilly
22-09-2025,Uttar Pradesh,Bareilly,243402,1,2,0,bareilly
22-09-2025,Uttar Pradesh,Bareilly,243501,2,0,0,bareilly
22-09-2025,Uttar Pradesh,Bareilly,262406,2,0,0,bareilly
21-09-2025,Uttar Pradesh,Bareilly,243505,0,3,0,bareilly
25-09-2025,Uttar Pradesh,Bareilly,243001,13,5,0,bareilly
25-09-2025,Uttar Pradesh,Bareilly,243201,11,13,0,bareilly
25-09-2025,Uttar Pradesh,Bareilly,262406,3,2,0,bareilly
24-09-2025,Uttar Pradesh,Bareilly,243301,1,2,0,bareilly
24-09-2025,Uttar Pradesh,Bareilly,243302,1,3,0,bareilly
24-09-2025,Uttar Pradesh,Bareilly,243403,1,0,0,bareilly
24-09-2025,Uttar Pradesh,Bareilly,243502,4,2,0,bareilly
24-09-2025,Uttar Pradesh,Bareilly,243504,3,0,0,bareilly
24-09-2025,Uttar Pradesh,Bareilly,243506,1,2,1,bareilly
24-09-2025,Uttar Pradesh,Bareilly,262406,3,4,0,bareilly
23-09-2025,Uttar Pradesh,Bareilly,243202,2,3,0,bareilly
23-09-2025,Uttar Pradesh,Bareilly,243301,1,1,0,bareilly
23-09-2025,Uttar Pradesh,Bareilly,243303,10,5,0,bareilly
23-09-2025,Uttar Pradesh,Bareilly,243407,1,0,0,bareilly
27-09-2025,Uttar Pradesh,Bareilly,243202,1,0,0,bareilly
27-09-2025,Uttar Pradesh,Bareilly,243301,0,2,0,bareilly
27-09-2025,Uttar Pradesh,Bareilly,262406,3,0,0,bareilly
29-09-2025,Uttar Pradesh,Bareilly,243122,0,0,1,bareilly
26-09-2025,Uttar Pradesh,Bareilly,243003,5,0,0,bareilly
26-09-2025,Uttar Pradesh,Bareilly,243006,1,1,0,bareilly
26-09-2025,Uttar Pradesh,Bareilly,243123,8,3,0,bareilly
26-09-2025,Uttar Pradesh,Bareilly,243301,4,2,0,bareilly
26-09-2025,Uttar Pradesh,Bareilly,243302,3,2,0,bareilly
26-09-2025,Uttar Pradesh,Bareilly,243402,3,0,0,bareilly
26-09-2025,Uttar Pradesh,Bareilly,243505,1,4,0,bareilly
26-09-2025,Uttar Pradesh,Bareilly,243506,0,2,0,bareilly
26-10-2025,Uttar Pradesh,Bareilly,243122,4,2,0,bareilly
26-10-2025,Uttar Pradesh,Bareilly,243203,2,1,0,bareilly
26-10-2025,Uttar Pradesh,Bareilly,243504,1,2,0,bareilly
13-10-2025,Uttar Pradesh,Bareilly,243122,5,2,0,bareilly
13-10-2025,Uttar Pradesh,Bareilly,243407,1,0,0,bareilly
13-10-2025,Uttar Pradesh,Bareilly,243501,4,1,0,bareilly
16-10-2025,Uttar Pradesh,Bareilly,243005,5,5,15,bareilly
16-10-2025,Uttar Pradesh,Bareilly,243302,5,2,0,bareilly
16-10-2025,Uttar Pradesh,Bareilly,243505,6,4,0,bareilly
15-10-2025,Uttar Pradesh,Bareilly,262406,8,4,0,bareilly
15-10-2025,Uttar Pradesh,Bareilly,262407,2,1,0,bareilly
17-10-2025,Uttar Pradesh,Bareilly,243001,32,14,1,bareilly
17-10-2025,Uttar Pradesh,Bareilly,243401,1,1,0,bareilly
17-10-2025,Uttar Pradesh,Bareilly,243407,2,0,0,bareilly
17-10-2025,Uttar Pradesh,Bareilly,243504,6,10,0,bareilly
17-10-2025,Uttar Pradesh,Bareilly,243505,26,6,0,bareilly
17-10-2025,Uttar Pradesh,Bareilly,243506,3,1,0,bareilly
17-10-2025,Uttar Pradesh,Bareilly,262407,6,8,0,bareilly
18-10-2025,Uttar Pradesh,Bareilly,243001,9,13,2,bareilly
18-10-2025,Uttar Pradesh,Bareilly,243003,6,0,0,bareilly
18-10-2025,Uttar Pradesh,Bareilly,243302,2,1,0,bareilly
18-10-2025,Uttar Pradesh,Bareilly,243401,0,2,0,bareilly
18-10-2025,Uttar Pradesh,Bareilly,243402,1,2,0,bareilly
19-10-2025,Uttar Pradesh,Bareilly,243006,3,1,1,bareilly
19-10-2025,Uttar Pradesh,Bareilly,243122,6,10,1,bareilly
19-10-2025,Uttar Pradesh,Bareilly,243302,4,1,0,bareilly
19-10-2025,Uttar Pradesh,Bareilly,243502,3,2,0,bareilly
19-10-2025,Uttar Pradesh,Bareilly,243505,10,5,0,bareilly
19-10-2025,Uttar Pradesh,Bareilly,262406,14,2,1,bareilly
24-10-2025,Uttar Pradesh,Bareilly,243003,3,1,0,bareilly
24-10-2025,Uttar Pradesh,Bareilly,243005,6,3,1,bareilly
24-10-2025,Uttar Pradesh,Bareilly,243122,6,2,1,bareilly
24-10-2025,Uttar Pradesh,Bareilly,243202,3,2,0,bareilly
24-10-2025,Uttar Pradesh,Bareilly,243303,1,2,0,bareilly
24-10-2025,Uttar Pradesh,Bareilly,262406,4,1,0,bareilly
20-10-2025,Uttar Pradesh,Bareilly,243122,1,1,0,bareilly
20-10-2025,Uttar Pradesh,Bareilly,243202,0,1,0,bareilly
20-10-2025,Uttar Pradesh,Bareilly,262407,1,0,0,bareilly
25-10-2025,Uttar Pradesh,Bareilly,243001,9,6,0,bareilly
25-10-2025,Uttar Pradesh,Bareilly,243501,0,2,0,bareilly
27-10-2025,Uttar Pradesh,Bareilly,243123,1,0,0,bareilly
27-10-2025,Uttar Pradesh,Bareilly,243402,1,0,0,bareilly
27-10-2025,Uttar Pradesh,Bareilly,243506,3,1,2,bareilly
29-10-2025,Uttar Pradesh,Bareilly,243202,3,2,0,bareilly
29-10-2025,Uttar Pradesh,Bareilly,243303,1,0,0,bareilly
29-10-2025,Uttar Pradesh,Bareilly,243501,3,0,0,bareilly
29-10-2025,Uttar Pradesh,Bareilly,243505,9,4,0,bareilly
28-10-2025,Uttar Pradesh,Bareilly,243005,3,2,0,bareilly
28-10-2025,Uttar Pradesh,Bareilly,243006,2,3,0,bareilly
28-10-2025,Uttar Pradesh,Bareilly,243123,7,0,0,bareilly
28-10-2025,Uttar Pradesh,Bareilly,243202,4,5,0,bareilly
28-10-2025,Uttar Pradesh,Bareilly,243301,5,5,1,bareilly
28-10-2025,Uttar Pradesh,Bareilly,243303,2,0,0,bareilly
28-10-2025,Uttar Pradesh,Bareilly,243401,1,2,0,bareilly
28-10-2025,Uttar Pradesh,Bareilly,243504,1,2,0,bareilly
05-11-2025,Uttar Pradesh,Bareilly,243005,5,2,0,bareilly
05-11-2025,Uttar Pradesh,Bareilly,243202,7,5,0,bareilly
06-11-2025,Uttar Pradesh,Bareilly,243003,2,3,0,bareilly
06-11-2025,Uttar Pradesh,Bareilly,243303,2,4,0,bareilly
06-11-2025,Uttar Pradesh,Bareilly,243501,0,1,0,bareilly
06-11-2025,Uttar Pradesh,Bareilly,243504,4,1,0,bareilly
07-11-2025,Uttar Pradesh,Bareilly,243303,5,5,0,bareilly
